DataHora,Manchete,Direção,Previsão
2024-12-16 14:04:00,MERCADOS: Bolsas europeias recuam com crises políticas na Alemanha e França,Aumento,Diminuição
2024-12-18 16:13:00,"indice DXY sobe 0,70%, a 107,699",Diminuição,Aumento
2024-12-11 12:36:00,"Tendência de resultados deve continuar robusta, com um 4TRI forte, apoiado pelo cenário competitivo favorável",Aumento,Aumento
2024-11-29 13:09:00,Haddad: Projeto da renda não será votado se não for neutro do ponto de vista fiscal,Diminuição,Aumento
2024-12-06 15:44:00,"Empresa está focada em reduzir a alavancagem, dado o atual cenário de alta nos juros, comenta o banco",Aumento,Aumento
2024-12-04 15:48:00,"Na LME, o contrato para três meses tinha baixa de 0,42% há pouco, para US$ 9.082 por tonelada",Aumento,Diminuição
2024-12-09 14:49:00,"Taxa Ptax fecha em R$ 6,0570, alta de 0,46%",Aumento,Aumento
2024-12-18 16:44:00,"Ibovespa renova mínima aos 121.559 pontos, queda de 2,52%",Aumento,Diminuição
2024-12-13 17:12:00,Tributária: GT da Câmara se reunirá domingo para analisar mudanças feitas pelo senado na regulamentação da reforma,Aumento,Aumento
2024-12-18 16:56:00,"NY em novas mínimas: Dow -0,98%; S&P 500 -1,15%, Nasdaq -1,39%",Aumento,Aumento
2024-12-30 10:35:00,"Ibovespa na máxima de 120.863,79 pontos (+0,49%)",Diminuição,Aumento
2024-12-02 16:08:00,MERCADOS: Ouro recua com dolar forte em meio à crise política na França e ameaça de Trump contra o BRICS,Aumento,Aumento
2024-12-11 15:54:00,"Goldman Sachs tem recomendação neutra para Klabin, com preço-alvo de R$ 20",Diminuição,Diminuição
2024-12-18 09:05:00,Juros futuros abrem em queda,Aumento,Diminuição
2024-11-27 10:10:00,Acompanhe a movimentação das principais ações do Ibovespa:,Diminuição,Diminuição
2024-12-10 11:14:00,"Comitê também tem reafirmado o compromisso de cumprir a meta, diz o indicado para a diretoria de Regulação do BC",Diminuição,Aumento
2024-12-19 10:30:00,"EUA/Deptº do Comércio: Leitura do PIB do 3TRI aponta alta a 3,1%, de +2,9% no consenso",Diminuição,Aumento
2024-11-27 10:24:00,"E se a França não quiser assinar, não importa; a UE quer e a presidente Van Der Leyen tem procuração",Diminuição,Aumento
2024-12-02 17:32:00,Fed/Waller: Dados recentes indicam que progresso na inflação estagnou,Aumento,Aumento
2024-12-19 11:46:00,Entendemos que neste momento BC precisa atuar como estamos atuando; não tem como responder se haverá novas intervenções [no câmbio],Diminuição,Aumento
2024-12-02 09:23:00,EMPRESAS: JBS comunica criação do primeiro programa de notas comerciais,Diminuição,Aumento
2024-12-02 09:47:00,"Juros futuros passam a cair: Jan/26 a 13,890%, de 13,960%; Jan/27 a 14,015%, de 14,054%; Jan/29 a 13,795%, de 13,804%; Jan/31 a 13,610%, de 13,635%",Aumento,Diminuição
2024-12-13 11:38:00,Tesouro diz que continuará monitorando as condições de mercado e atuará de forma a assegurar o bom funcionamento do mercado de títulos e outros ativos,Diminuição,Aumento
2024-12-10 10:49:00,Anúncio de encerramento de algumas marcas é movimento natural visando otimização de portfólio e melhoria dos retornos,Diminuição,Diminuição
2024-12-11 14:58:00,Deputado Moses Rodrigues (União-CE) será relator da PEC do pacote fiscal,Diminuição,Aumento
2024-12-03 09:04:00,Veja o release completo do IBGE* üëâüèª https://tinyurl.com/yfjuv9tj*,Diminuição,Aumento
2024-12-05 10:22:00,EMPRESAS: Eletrobras fica entre as maiores altas após retomada de discussões com a União,Aumento,Aumento
2024-12-27 13:58:00,MERCADOS: Bolsas europeias fecham em alta na volta do feriado prolongado,Diminuição,Aumento
2024-12-26 10:15:00,Acompanhe a movimentação das principais ações do Ibovespa:,Aumento,Diminuição
2024-11-25 15:16:00,"Na Comex, o contrato para dezembro subiu 0,34%, a US$ 4,1000 por libra-peso",Diminuição,Aumento
2024-12-04 11:18:00,"AOVIVO/Haddad: A reforma da renda que estamos propondo é neutra em termos fiscais, assim como a reforma do consumo,",Diminuição,Aumento
2024-12-10 12:24:00,"Senador Eduardo Braga (MDB-AM), relator da reforma tributária, inicia leitura de parecer na CCJ",Diminuição,Aumento
2024-12-18 10:43:00,"Bradesco BBI reitera recomendação neutra para Ambev, com preço-alvo a R$ 13",Aumento,Diminuição
2024-11-29 13:50:00,Vamos mirar o centro da meta de déficit primário no ano que vem,Diminuição,Aumento
2024-12-19 09:47:00,EMPRESAS: Braskem assina aditivo a acordo de leniência com a CGU/AGU,Diminuição,Diminuição
2024-12-20 12:41:00,"A retirada do tema não afetará a potência das medidas, já que o impacto econômico foi reduzido de R$ 71,9 bilhões em dois anos para R$ 70 bilhões",Diminuição,Diminuição
2024-12-13 09:03:00,"Juros futuros abrem mistos, em queda na ponta longa",Diminuição,Diminuição
2024-11-25 11:31:00,"NY/Abertura: Dow Jones sobe 0,75% (44.627,75); S&P +0,58% (6.003,79) e Nasdaq +0,73% (19.142,01)",Aumento,Aumento
2024-12-03 14:46:00,Política monetária não tem trajetória predefinida; estamos no caminho de mover a política para um cenário mais neutro,Aumento,Diminuição
2024-12-19 16:04:00,Lira abre discussão da PEC do pacote fiscal em 2º turno,Aumento,Aumento
2024-12-27 09:05:00,"Ibovespa futuro cede a 122.445 pontos (-0,14%)",Diminuição,Diminuição
2024-12-12 10:38:00,"EUA/Treasuries: rendimentos perdem força após dados, como  da Note de 2 anos caindo a 4,13%, de 4,14%; e o da Note de 10 estável em 4,27%",Aumento,Diminuição
2024-11-28 10:17:00,"dolar na máxima de +0,98% a R$ 5,9705 após coletiva de ministros sobre o pacote de cortes",Aumento,Aumento
2024-11-29 14:47:00,"EPE: Consumo de energia cresce 3,7% em outubro com temperatura mais elevada e maior demanda da indústria",Aumento,Aumento
2024-11-26 16:22:00,"EUA/Treasuries: Volátil após a Ata, T-Note de 2 anos vira e passa a cair para 4,2808%; T-Note de 10 anos sobe a 4,3155%",Diminuição,Aumento
2024-12-16 13:12:00,Reforma tributária: GT apresentará parecer a Lira e lideres às 15h; texto deve ser votado amanhã,Diminuição,Aumento
2024-12-12 10:39:00,AOVIVO/Kalil diz que o procedimento de hoje não foi avisado antes porque era necessário esperar a evolução,Diminuição,Diminuição
2024-12-18 12:29:00,Haddad: Lula nunca interferiu no BC e está fazendo o mesmo agora,Diminuição,Diminuição
2024-12-02 16:50:00,"WTI para janeiro tem alta de 0,15%, a US$ 68,10 por barril, na Nymex",Diminuição,Aumento
2024-12-04 15:00:00,EMPRESAS: Brava Energia reduz ritmo de ganhos depois de liderar ranking positivo,Aumento,Diminuição
2024-12-17 10:06:00,"MERCADOS: dolar sobe e puxa juros com fiscal, enquanto exterior espera o Fed e favorece consolidação adicional da moeda",Diminuição,Aumento
2024-12-04 16:12:00,"Fed/Powell: Trajetória da dívida dos EUA é ruim, insustentável; temos que endereçar a questão fiscal",Diminuição,Diminuição
2024-12-16 14:30:00,"EMPRESAS: Vale busca recuperação e passa a subir, após queda da manhã",Aumento,Aumento
2024-11-22 09:02:00,"dolar abre em alta de 0,17%, a R$  5,8213 e dolar futuro, de +0,08%, a R$ 5,8265",Diminuição,Aumento
2024-12-05 17:20:00,"Brasil deve ser forçado a trabalhar com juros mais altos para recuperar confiança do investidor, avalia Itaú Asset",Diminuição,Aumento
