date,article,label,cleaned_article
09/01/24,"Todo o suspense está transferido esta semana para o CPI de dezembro, apontado como o próximo desafio do Fed.",-1,suspense transferido semana índice preço consumidor dezembro apontar desafio fed
09/01/24,"Por aqui, não existe desafio maior do que a questão fiscal. Na briga para assegurar o déficit mais próximo de zero, a equipe econômica não pode abrir mão de nenhuma renúncia de arrecadação e abre confronto com o Congresso.",1,existir desafio fiscal briga assegurar déficit equipe econômico abrir mão renúncia arrecadação abrir confronto congresso
09/01/24,"Ao vetar a desoneração da folha e baixar a MP que prevê a extinção gradual do benefício até 2027, Lula peitou a decisão do Legislativo, encampou a luta da Fazenda, deu capital político a Haddad e irritou o Parlamento.",1,vetar desoneração folha baixar medida provisória prever extinção gradual benefício lula peitar decisão legislativo encampar luta fazenda dar capital político haddad irritar parlamento
09/01/24,"No Estadão de hoje, em meio à pressão de parlamentares pela devolução imediata da MP que revogou a desoneração, a Fazenda articula uma saída para convencer Pacheco a colocar o tema em votação no Congresso.",1,estadão hoje pressão parlamentar devolução imediato medida provisória revogar desoneração fazenda articular saída convencer pacheco colocar tema votação congresso
09/01/24,"Vai argumentar que a tramitação via MP dá protagonismo aos senadores na discussão de um tema caro aos parlamentares. Se a tática de sensibilização falhar, pode partir para uma outra alternativa, segundo a reportagem.",1,argumentar tramitação vio medida provisória protagonismo senador discussão tema caro parlamentar tática sensibilização falhar alternativa reportagem
09/01/24,"O governo apresentaria um projeto de lei sobre o mesmo assunto, começando a discussão pela Câmara.",1,governo apresentar projeto lei assunto começar discussão câmara
09/01/24,"A tramitação via PL chegou a ser defendida pelo relator da desoneração, senador Angelo Coronel (PSD-BA), logo que o ministro Fernando Haddad anunciou a edição da MP alterando a desoneração da folha de pagamentos.",1,tramitação ver pl chegar defender relator desoneração senador angelo coronel ministro fernando haddad anunciar edição medida provisória alterar desoneração folha pagamento
09/01/24,"Se nada vingar na frente política, a Fazenda já avisou que vai partir para o “tudo ou nada”, recorrendo ao STF.",1,vingar frente político fazenda avisar recorrer supremo tribunal federal
09/01/24,"A estratégia de convencimento dos senadores foi discutida ontem, em reunião de Haddad com Randolfe e Jaques Wagner, líderes do governo no Congresso e Senado. Ainda Padilha (Relações Institucionais) participou da conversa.",1,estratégia convencimento senador discutir reunião haddad randolfe jaques wagner líder governo congresso senado padilha relações institucionais participar conversa
09/01/24,"Para o encontro de hoje de Pacheco com as lideranças, seis senadores confirmaram presença. Das principais bancadas, porém, apenas o líder do União Brasil, Efraim Filho (PB), deverá estar na capital federal para participar.",1,encontro hoje pacheco liderança senador confirmar presença principal bancada líder união brasil efraim filho pb capital federal participar
09/01/24,Ele é autor do projeto de lei que prorrogou a desoneração da folha de pagamentos até 2027.,1,autor projeto lei prorrogar desoneração folha pagamento
10/01/24,"Na defensiva com o CPI de amanhã, NY continua baixando a bola sobre um corte do juro em março e espera hoje pelos comentários do Fed boy John Williams em evento, às 17h15, na reta final dos negócios em Wall Street. Por aqui, o diretor de Política Econômica do BC, Diogo Guillen, participa às 11h de evento virtual do JPMorgan sobre conjuntura econômica, enquanto os mercados domésticos já começam o ano entrando na pilha de um Fed menos dovish e dos ruídos fiscais domésticos. A novela da MP da Reoneração da folha virou uma disputa de forças entre a Fazenda e o Congresso, e Pacheco pretende costurar uma saída política até 6ªF.",0,defensiva índice preço consumidor amanhã ny continuar baixar bola corte juro março esperar hoje comentário fed boy john williams evento reta negócio wall street diretor política econômica banco central diogo guillen participar evento virtual jpmorgan conjuntura econômico mercado doméstico começar ano entrar pilha fed dovish ruído fiscal doméstico novela medida provisória reoneração folha virar disputa força fazenda congresso pacheco pretender costurar saída político
10/01/24,"No início da noite de ontem, Pacheco se reuniu com Lula para fechar um acordo sobre a MP e, segundo fontes ouvidas pelo colunista Valdo Cruz/g1, disse ao presidente que a MP “dificilmente será aprovada”.",0,início noite pacheco reunir lula fechar acordo medida provisória fonte ouvir colunista valdo cruz dizer presidente medida provisória dificilmente ser aprovar
10/01/24,Pacheco relatou que o clima dentro do Congresso é muito ruim para a MP e que a medida tem grandes chances de ser derrotada ou até devolvida. Uma saída seria o próprio governo retirar a MP de tramitação.,0,pacheco relatar clima congresso ruim medida provisória medida chance derrotar devolver saída governo retirar medida provisória tramitação
10/01/24,"Pacheco sugeriu o envio por projeto de lei em regime de urgência dos três temas da proposta: reoneração da folha, limite de compensação de créditos tributários e redução de incentivos fiscais ao setor de eventos (Perse).",0,pacheco sugerir envio projeto lei regime urgência tema proposta reoneração folha limite compensação crédito tributário redução incentivo fiscal setor evento perse
10/01/24,"A decisão teria ficado para hoje, em reunião entre Dario Durigan (interino na Fazenda) e a equipe de Pacheco.",0,decisão ter ficar hoje reunião dario durigan interino fazenda equipe pacheco
10/01/24,"Na Folha, antes de adotar uma decisão drástica, como a devolução da MP, que aumentaria ainda mais o desgaste entre o governo e o Parlamento, o presidente do Senado conversaria com o ministro Haddad.",1,folha adotar decisão drástico devolução medida provisória aumentar desgaste governo parlamento presidente senado conversar ministro haddad
10/01/24,"A intenção seria estudar alternativas e esgotar todas as possibilidades para evitar uma ruptura. Pacheco também telefonaria para Lira para deixar as coisas bem amarradas, em meio à crise institucional instalada.",1,intenção estudar alternativa esgotar possibilidade evitar ruptura pacheco telefonar lira deixar coisa amarrado crise institucional instalar
10/01/24,"Ligaria também para as lideranças partidárias que faltaram à reunião de ontem, como Otto Alencar (PSD) e Eduardo Braga (MDB). Como se imaginava, o encontro desta 3ªF foi inconclusivo e esvaziado pelo recesso.",1,ligaria liderança partidário faltar reunião otto alencar psd eduardo braga mdb imaginar encontro inconclusivo esvaziar recesso
10/01/24,Pacheco promete tomar uma decisão sobre a MP ainda durante o recesso “para garantir estabilidade jurídica”.,1,pacheco prometer tomar decisão medida provisória durante recesso garantir estabilidade jurídico
10/01/24,"O Novo entrou nesta 3ªF com uma Ação Direta de Inconstitucionalidade no STF para questionar a MP, que “fere a separação entre Poderes e está totalmente viciada, já que Lula não pode governar por decreto e impor sua vontade”.",0,entrar ação direta inconstitucionalidade supremo tribunal federal questionar medida provisória ferir separação poderes totalmente viciar lula governar decreto impor vontade
10/01/24,"Pacheco diz estar comprometido a buscar uma “solução de arrecadação sustentável” e admitiu “remodelamento” da desoneração, com transição gradativa entre o texto aprovado pelo Congresso e o exigido pelo governo.",0,pacheco comprometer buscar solução arrecadação sustentável admitir remodelamento desoneração transição gradativo texto aprovar congresso exigido governo
10/01/24,"Pacheco rechaçou o comentário de Durigan de que, sem a MP, o governo pode ter que mudar a meta fiscal.",0,pacheco rechaçar comentário durigan medida provisória governo mudar meta fiscal
10/01/24,"“Seguramente, não será por isso, até porque temos outras alternativas, tanto de arrecadação, quanto de corte de gastos públicos, que podem manter essa desoneração, que era o que sustentava a geração de empregos”, observou.",0,seguramente ser alternativa arrecadação corte gasto público manter desoneração sustentar geração emprego observar
10/01/24,"Na estratégia de oportunidade, o que se nota é que a Fazenda já começa a preparar o script de justificativas para desistir da meta fiscal zero, que sempre foi considerada ambiciosa demais para o mercado embarcar na ousadia.",0,estratégia oportunidade nota fazenda começar preparar script justificativa desistir meta fiscal considerar ambicioso mercado embarcar ousadia
10/01/24,"“PIBÃO” – Em entrevista veiculada ontem à noite pela Voz do Brasil, Tebet apostou que a economia brasileira vai crescer mais de 2% este ano, contra a previsão mais conservadora do mercado no Focus, de 1,59%.",1,pibão entrevista veicular noite voz brasil tebet apostar economia brasileiro crescer ano previsão conservador mercado focus
10/01/24,"A aposta da ministra está em linha com a previsão da Fazenda, que estima alta do PIB de 2,2% neste ano.",1,aposta ministra linha previsão fazenda estimar alta produto interno bruto ano
10/01/24,"Para justificar o otimismo, Tebet citou os investimentos do PAC e a “credibilidade do mercado” sobre a condução da economia pela equipe da Fazenda e do Planejamento, construída ao longo do último ano.",1,justificar otimismo tebet citar investimento pac credibilidade mercado condução economia equipe fazenda planejamento construir longo ano
10/01/24,"Em sua avaliação, as aprovações em 2023 da reforma tributária e arcabouço fiscal tiveram “impacto imediato e direto” para construir confiança junto ao mercado, assegurando que o governo não irá “gastar por gastar”.",1,avaliação aprovação reforma tributário arcabouço fiscal impacto imediato direto construir confiança junto mercado assegurar governo gastar gastar
10/01/24,"MAIS AGENDA – Saem aqui a primeira prévia de janeiro do IPC-Fipe (5h), além dos dados da Anfavea de produção de veículos em dezembro e do fluxo nas estradas pedagiadas no mês de Natal, ambos às 10h.",1,agenda sair prévia janeiro dado anfavea produção veículo dezembro fluxo estrada pedagiar natal
10/01/24,"Nos EUA, serão divulgados os estoques no atacado em novembro (12h) e as reservas de petróleo do DoE (12h30), com previsão de -600 mil barris. No Reino Unido, o presidente do BoE, Andrew Bailey, fala (11h15).",-1,estados unidos ser divulgar estoque atacado novembro reserva petróleo doe previsão barri reino unido presidente boe andrew bailey falar
10/01/24,"INSTINTO DE PROTEÇÃO – Ainda que a liquidez baixa possa estar potencializando os movimentos defensivos, os negócios domésticos começam a passar recibo de que estão preocupados com o Fed e os desafios fiscais aqui.",-1,instinto proteção liquidez baixo poder potencializar movimento defensivo negócio doméstico começar passar recibo preocupado fed desafio fiscal
10/01/24,"Ontem, o Ibovespa entregou os 132 mil pontos, o dólar acelerou à faixa de R$ 4,90 e o DI completou sete altas seguidas, dando a medida da dose de cautela com o risco de a inflação americana (CPI) pregar um susto amanhã.",-1,índice bovespa entregar dólar acelerar faixa depósito interfinanceiro completar alta seguir dar medida dose cautela risco inflação americano índice preço consumidor pregar susto amanhã
10/01/24,"Uma surpresa hawkish não cairia bem aos mercados emergentes, que torcem para o juro parar de subir nos EUA. No front interno, causa desconforto a convicção de que a meta fiscal terá de ser alterada para acomodar gastos.",-1,surpresa hawkish cair mercado emergente torcer juro parar subir estados unidos front interno causa desconforto convicção meta fiscal ter alterar acomodar gasto
10/01/24,"Além do cenário defensivo, também as blue chips jogaram contra o Ibov ontem. Petrobras ignorou a reação do petróleo, Vale (-1,27%, a R$ 73,33) caiu com a terceira queda consecutiva do minério e Bradesco também foi mal.",-1,cenário defensivo blue chip jogar ibov petrobra ignorar reação petróleo vale cair queda consecutivo minério bradesco
10/01/24,"O banco (PN -2,69%, a R$ 16,30; ON -2,65%, a R$ 14,70) teve a recomendação rebaixada pelo Goldman Sachs de “neutro” para “venda”, com preço-alvo de R$ 16,00, potencial de queda de 4,4% em relação ao fechamento de 2ªF.",-1,banco pn on recomendação rebaixar goldman sachs neutro venda potencial queda fechamento
10/01/24,"O rebaixamento pressionou outras ações do setor financeiro. A unit do Santander desvalorizou 2,91%, a R$ 30,99. Banco do Brasil ON recuou 1,50% (R$ 54,52). Já Itaú se salvou na estabilidade (-0,06%), a R$ 33,32.",-1,rebaixamento pressionar ação setor financeiro unit santander desvalorizar banco brasil on recuar itaú salvar estabilidade
10/01/24,"Itaúsa, que teve a recomendação elevada de “neutro” para “compra” pelo Goldman Sachs, subiu 0,20%, a R$ 10,18. O preço-alvo saiu de R$ 11,33 para R$ 11,90.",-1,itaúsa recomendação elevar neutro compra goldman sachs subir sair
10/01/24,"Petrobras ON caiu 0,55% (R$ 39,42) e PN recuou 0,86% (R$ 38,10). Após o tombo de quase 3,5% do Brent na véspera, o petróleo olhou a tensão no Oriente Médio, agravada pela interrupção na produção 300 mil bpd na Líbia.",-1,petrobra on cair pn recuar tombo quase brent véspera petróleo olhar tensão oriente médio agravar interrupção produção bpd líbia
10/01/24,"Em Londres, o Brent para março registrou recuperação parcial das perdas recentes e subiu 1,93%, a US$ 77,59 por barril. O WTI para fevereiro avançou 2,07%, a US$ 72,24 por barril, na Nymex.",-1,londres brent março registrar recuperação parcial perda recente subir barril wti fevereiro avançar barril nymex
10/01/24,"3R Petroleum acompanhou o petróleo e subiu 4,20% (R$ 28,52), a segunda maior alta do dia.",-1,petroleum acompanhar petróleo subir alta dia
10/01/24,"Já as siderúrgicas lideraram as perdas do dia no Ibov. Gerdau, -5,22% (R$ 22,14); Gerdau Metalúrgica, -4,58% (R$ 10,20); e CSN, -4,47% (R$ 18,39).",-1,siderúrgica liderar perda dia ibov gerdau gerdau metalúrgica csn
10/01/24,"Locaweb avançou 5,52% (R$ 6,12), beneficiada pela análise do BTG apontando resultados fortes no 4TRI23.",-1,locaweb avançar beneficiar análise btg apontar resultado forte
10/01/24,"ROTA DE CORREÇÃO – Ainda aparando os exageros do fim de 2023, as taxas dos DIs engataram a sétima sessão de altas consecutivas.",-1,rota correção aparar exagero taxa dis engatar sessão alta consecutivo
10/01/24,"A reprecificação do ciclo de corte de juros nos EUA tem parte nisso, mas o cenário interno também não tem ajudado, com os ruídos entre governo e Congresso impondo um piso nas taxas domésticas.",-1,reprecificação ciclo corte juro estados unidos em isso cenário interno ajudar ruído governo congresso impor piso taxa doméstico
10/01/24,"Ontem, os DIs sentiram a pressão do câmbio e andaram na contramão do alívio nos retornos dos Treasuries – que recuaram, mas não muito (a Note de 10 continuou acima de 4%).",-1,dis sentir pressão câmbio andar contramão alívio retorno treasuries recuar note continuar acima
10/01/24,"O DI para Jan/25 subiu a 10,125%, (de 10,044%, ontem) e o DI Jan/26, a 9,775% (de 9,704%). O DI Jan/27, a 9,890% (de 9,842%); Jan/29, a 10,280% (10,252%); Jan/31, a 10,520% (10,496%); e Jan/33, a 10,650% (10,610%).",-1,depósito interfinanceiro subir depósito interfinanceiro depósito interfinanceiro
10/01/24,"Um contraponto importante é que, apesar da recente sequência de altas, os juros recuperaram apenas uma pequena parte das fortes quedas do último bimestre de 2023, quando caíram entre 0,94pp e 1,32pp.",-1,contraponto importante apesar recente sequência alta juro recuperar pequeno forte queda bimestre cair
10/01/24,"Do último pregão de dezembro até ontem, subiram entre 0,11 e 0,21pp.",-1,pregão dezembro subir
10/01/24,"No câmbio, o dólar à vista fechou perto da máxima do dia (+0,74%, a R$ 4,9061), num movimento que seguiu o padrão global, com a moeda americana ganhando terreno entre pares e emergentes.",-1,câmbio dólar vista fechar máxima dia movimento seguir padrão global moeda americano ganhar terreno par emergente
10/01/24,"Como nos juros, o impasse em torno da MP da reoneração da folha de pagamento também justificou maior cautela nos negócios. No câmbio futuro, o contrato do dólar para fevereiro subiu 0,71%, a R$ 4,9190.",-1,juro impasse torno medida provisória reoneração folha pagamento justificar cautela negócio câmbio futuro contrato dólar fevereiro subir
10/01/24,"NEVER BET AGAINST AMERICA? – Gradativamente, NY vai baixando o entusiasmo com o pivô dovish do Fed e reduzindo a certeza de corte do juro em março, ainda que o CPI de amanhã tenha potencial de agitar tudo de novo.",0,never bet against america gradativamente ny baixar entusiasmo pivô dovish fed reduzir corte juro março índice preço consumidor amanhã ter potencial agitar
10/01/24,"A aposta no CME de que o BC americano comece o ciclo de aperto ainda neste 1Tri disparou para 90% no final do ano passado, começou 2024 em 70% (com a ata), iniciou esta semana em 64% e ontem chegou a cair abaixo de 60%.",0,aposta cme banco central americano começar ciclo aperto disparar ano passado começar ata iniciar semana chegar cair abaixo
10/01/24,"Os alertas hawkish de alguns Fed boys têm ajudado a baixar a euforia e, no clima de ressaca, depois da festa antecipada, os ralis das bolsas em NY já duram menos, com os investidores preferindo agora esperar para ver.",0,alerta hawkishr fed boys ajudar baixar euforia clima ressaca festa antecipar rali bolsa ny durar investidor preferir esperar
10/01/24,"Os principais índices de ações até reduziram as perdas no fim da sessão de ontem, mas o saldo do dia foi negativo para o Dow Jones (-0,42%, 37.525,10 pontos), que seguiu abalado pela Boeing (-1,41%).",0,principal índice ação reduzir perda sessão saldo dia negativo dow jones seguir abalar boeing
10/01/24,"O S&P 500 recuou 0,15% (4.756,45). A alta do petróleo não sensibilizou as ações do setor, que contribuíram para a queda dos índices: Chevron (-2,56%) e Exxon Mobil (-1,30%).",0,recuar alta petróleo sensibilizar ação setor contribuir queda índice chevron exxon mobil
10/01/24,"O setor financeiro também pressionou, com Goldman Sachs (-1,32%) e Bank of America (-1,55%).",0,setor financeiro pressionar goldman sachs bank of america
10/01/24,"Ontem, o vice-presidente de supervisão do Fed, Michael Barr, afirmou que o BC americano não vai renovar o programa de empréstimos de emergência criado depois da quebra do Silicon Valley Bank.",0,supervisão fed michael barr afirmar banco central americano renovar programa empréstimo emergência criar quebra silicon valley bank
10/01/24,"O programa, que foi “altamente eficaz”, segundo Barr, vence em 11 de março.",1,programa altamente eficaz barr vencer março
10/01/24,"O Nasdaq segurou alta marginal (+0,09%, 14.857,71), com ganhos das big techs Nvidia (+1,7%) e AMD (+2,1%).",1,nasdaq segurar alta marginal ganho big techs nvidia amd
10/01/24,"Em dia de aumento da demanda por ativos de segurança, os retornos dos Treasuries caíram, mas de forma tímida.",1,dia aumento demanda ativo segurança retorno treasuries caír tímido
10/01/24,"O juro da T-note de 10 anos, referência global, chegou a furar o nível psicológico de 4%, mas terminou o dia em 4,016% (de 4,029%).",1,juro ano referência global chegar furar psicológico terminar dia
10/01/24,"Em postagens no X, o rei dos Treasuries Bill Gross (ex-Pimco) afirmou que, a 4%, a note está “sobrevalorizada”.",1,postagem x rei treasuries bill gross afirmar note sobrevalorizar
10/01/24,"Ele, que ganhou milhões no fim de 2023 apostando na queda dos juros, agora diz que faz mais sentido investir em Tips (indexados à inflação) ou em Treasuries mais curtos, em uma aposta de normalização da curva de juros nos EUA.",1,ganhar milhão apostar queda juro sentido investir tips indexar inflação treasuries curto aposta normalização curva juro estados unidos
10/01/24,"Seguro para momentos de incerteza, o dólar subiu. O índice DXY fechou em alta de 0,33%, a 102,570 pontos. O euro caiu 0,19%, a US$ 1,0928, a libra cedeu 0,29%, a US$ 1,2705, e o iene recuou 0,17%, a 144,50/US$.",1,seguro momento incerteza dólar subir índice dxy fechar alta euro cair libra ceder iene recuar
10/01/24,"EM TEMPO Cármen Lúcia (STF) concedeu prazo de 30 dias para prefeitura de Maceió e BRASKEM se manifestarem sobre acordo de indenização avaliado em R$ 1,7 bi por prejuízos causados pela extração de sal-gema na capital.",0,cármen lúcia supremo tribunal federal conceder prazo dia prefeitura maceió braskem manifestarer acordo indenização avaliar bi prejuízo causar extração capital
10/01/24,"TAESA obteve licença ambiental para a subestação Encruzo Novo, que faz parte da concessão Tangará Transmissora de Energia Elétrica, que será implantada entre os Estados do Maranhão e Pará",0,taesa obter licença ambiental subestação encruzo concessão tangará transmissora energia elétrica ser implantar estado maranhão pará
10/01/24,Prazo para início da operação comercial é março de 2028.,0,prazo início operação comercial março
10/01/24,"LIGHT. Conselho de Administração elegeu três diretores interinos de RI, que irão substituir Eduardo Guardiano Leme Gotilla, que deixará todas as funções que até então exercia na companhia",0,administração elegeu diretor interino ri ir substituir eduardo guardiano leme gotilla deixar função exercia companhia
10/01/24,"São eles: Alexandre Ferreira Nogueira, que assume a direção de RI na Light; Carlos Vinícius de Sá Roriz, na Light Energia; e Rodrigo Ribeiro Pereira Brandão, na Light Serviços de Eletricidade.",0,alexandre ferreira nogueira assumir direção ri light carlos vinícius sá roriz light energia rodrigo ribeiro pereira brandão light serviços eletricidade
10/01/24,"BANCO PAN. BTG Pactual WM Gestora de Recursos atingiu participação de 5,36% das ações PN.",0,banco pan btg pactual wm gestora recursos atingir participação ação pn
11/01/24,"Última leitura da inflação ao consumidor nos EUA antes da próxima reunião do Fed, que acontece daqui a pouco menos de três semanas, o CPI (10h30) deve acelerar para 0,2% em dezembro, contra 0,1% em novembro. O dado representa mais um teste de fogo para as apostas dovish. A precificação de corte do juro em março segue majoritária, rodando em torno de 65%, mas vem balançando desde a ata do Fed e ameaça virar o jogo, se o CPI botar pressão. Inflação também é destaque hoje na China (22h30) e por aqui, com o IPCA de dezembro (9h) e do acumulado de 2023, que, pela primeira vez em três anos, não deve estourar o teto da meta de 4,75%.",1,último leitura inflação consumidor estados unidos reunião fed acontecer de aqui semana índice preço consumidor acelerar dezembro novembro dado representar teste fogo aposta dovish precificação corte juro março seguir majoritár rodar torno balançar ata fed ameaçar virar jogo índice preço consumidor botar pressão inflação destaque hoje china índice nacional preço consumidor amplo dezembro acumulado ano estourar teto meta
11/01/24,"Economistas ouvidos pelo Broadcast esperam que o indicador oficial de inflação do IBGE registre a terceira aceleração mensal consecutiva, puxado pelos alimentos e por itens com forte influência sazonal no fim do ano.",1,economistas ouvir broadcast esperar indicador oficial inflação instituto brasileiro geografia estatística registrar aceleração mensal consecutivo puxar alimento item forte influência sazonal ano
11/01/24,"A mediana do mercado indica aceleração para 0,49% em dezembro, contra 0,28% em novembro. Todas as projeções indicam que o BC deve cumprir o alvo em 2023, com IPCA de 4,55%, contra 5,79% em 2022.",1,mediana mercado indicar aceleração dezembro novembro projeção indicar banco central cumprir alvo índice nacional preço consumidor amplo
11/01/24,"Não se espera hoje impacto relevante do IPCA sobre o ritmo de corte da Selic, uma vez que o Copom já contratou pelo menos mais duas doses de 0,5pp, esvaziando as esperanças de uma aceleração para 0,75pp.",1,esperar hoje impacto relevante índice nacional preço consumidor amplo ritmo corte especial liquidação custódia copom contratar dose esvaziar esperança aceleração
11/01/24,"Em evento do JPMorgan nesta 4ªF, Diogo Guillen (BC) voltou a chamar a atenção para a desancoragem das expectativas de inflação a partir de 2025 (3,5%), que continuam rompendo o centro da meta, de 3%.",1,evento jpmorgan diogo guillen banco central voltar chamar atenção desancoragem expectativa inflação continuar romper centro meta
11/01/24,"Em NY, em plena véspera do CPI, John Williams, que é muito influente no Fed, veio com um recado hawkish. Com voto permanente no Fomc, ele defendeu a manutenção da política restritiva durante “algum tempo”.",1,ny pleno véspera índice preço consumidor john williams influente fed vir recado hawkish voto permanente fomc defender manutenção política restritivo durante algum
11/01/24,"Bateu alguma cautela de última hora de que o Fed boy esteja antecipando que o juro não vai cair neste 1Tri e, na reta final dos negócios, o comentário puxou as taxas dos Treasuries mais longos às máximas (abaixo).",1,bateu algum cautela último hora fed boy estar antecipar juro cair reta negócio comentário puxar taxa treasuries longo máxima abaixo
11/01/24,"O consenso do mercado é de que o núcleo do CPI acelere 0,3% em dezembro, mesmo ritmo do mês anterior. Na leitura anual, as apostas são de +3,2% do índice cheio e +3,8% do núcleo, após 3,1% e 4,0% em novembro.",1,consenso mercado núcleo índice preço consumidor acelerir dezembro ritmo anterior leitura anual aposta índice cheio núcleo novembro
11/01/24,"A possibilidade de o núcleo do CPI ficar abaixo de 4% na base anualizada pela primeira vez em quase três anos poderá dar ao Fed maior confiança de que a inflação está no caminho da meta de 2%, acredita o ING.",1,possibilidade núcleo índice preço consumidor ficar abaixo base anualizar quase ano fed confiança inflação meta acreditar ing
11/01/24,"MAIS AGENDA – No mesmo horário do CPI (10h30), sai nos EUA o auxílio-desemprego, com previsão de alta de 3 mil pedidos, para 205 mil. Já com os números de inflação em mãos, o Fed boy Thomas Barkin discursa, às 14h40.",1,agenda horário índice preço consumidor sair estados unidos previsão alta pedido inflação mão fed boy thomas barkin discursa
11/01/24,"O BC do Peru divulga decisão de política monetária, sem horário confirmado.",0,banco central peru divulgar decisão política monetário horário confirmar
11/01/24,"ARGENTINA – Em voto de confiança a Milei, o corpo técnico do FMI chegou a acordo para liberar US$ 4,7 bi ao país para restaurar estabilidade econômica. Mas a aprovação ainda depende do conselho executivo do fundo.",0,argentina voto confiança milei corpo técnico fmi chegar acordo liberar bi país restaurar estabilidade econômico aprovação depender executivo fundo
11/01/24,"AQUI – Deve acontecer oficialmente hoje o anúncio da troca no Ministério da Justiça, confirmando a ida do ex-ministro do STF Ricardo Lewandowski para o lugar de Dino, que ocupará a vaga deixada por Rosa Weber no STF.",0,acontecer oficialmente hoje anúncio troca ministério justiça confirmar ida supremo tribunal federal ricardo lewandowski dino ocupar vaga deixar rosa weber supremo tribunal federal
11/01/24,"Lula ainda tem que decidir o futuro de Ricardo Cappelli, atual secretário-executivo do Ministério da Justiça.",0,lula decidir futuro ricardo cappelli atual ministério justiça
11/01/24,"Alguns interlocutores do presidente desejavam que Cappelli, que teve papel decisivo na crise detonada pelos atos golpistas de 8/1, fosse nomeado secretário nacional de Segurança Pública, dentro da pasta da Justiça.",0,interlocutor presidente desejar cappelli papel decisivo crise detonar ato golpista ser nomear secretário nacional segurança pública pasta justiça
11/01/24,"Mas Cappelli já avisou que não aceitaria. Quer permanecer no atual posto, segundo na hierarquia da Justiça.",0,cappelli avisar aceitar permanecer atual posto hierarquia justiça
11/01/24,"GREVE DE 24H NO BC – Insatisfeitos com o “descaso” do governo com a pauta de reivindicações da categoria, os servidores do BC fazem greve-relâmpago hoje, que pode causar interrupção na manutenção dos sistemas do Pix.",0,greve banco central insatisfeitos descaso governo pauta reivindicação categoria servidor banco central hoje causar interrupção manutenção sistema pix
11/01/24,"O leilão de rolagem de swap cambial (11h30), de até 16 mil contratos (US$ 800 milhões), está mantido. O Sindicato Nacional dos Funcionários do BC (Sinal) prevê adesão de 70% dos servidores do órgão à greve.",0,leilão rolagem swap cambial contrato milhão mantido sindicato nacional funcionários banco central sinal prever adesão servidor órgão greve
11/01/24,"MP DA REONERAÇÃO – O impasse em torno da revogação da desoneração da folha de pagamento, rechaçada pelo Congresso, persiste e uma solução não sairá antes de 2ªF, quando Haddad volta de férias e se reúne com Pacheco.",-1,medida provisória reoneração impasse torno revogação desoneração folha pagamento rechaçar congresso persistir solução sair haddad voltar férias reunir pacheco
