article,label,classification_multi,misclassification_type
"… Em NY, sob o peso da alta dos retornos dos Treasuries, as techs recuaram e o Nasdaq perdeu 0,96% (15.973,17 pontos). O Dow Jones caiu 0,49% (38.714,77) e o S&P 500 recuou 0,65% (5.117,09).",0,-1,0 misclassified as -1
"… Nos Treasuries, o juro da note de 2 anos avançou a 4,732% (4,706%) e o da note de 10 anos subiu a 4,313%, de 4,296%. O do T-bond de 30 anos caiu a 4,4303% (4,4342%).",1,-1,1 misclassified as -1
"VALE. Novo presidente, que substituirá Eduardo Bartolomeo em 2025, poderá ser ligado a acionistas representativos da mineradora…",1,0,1 misclassified as 0
"… A receita líquida do varejo recuou 41,5%, para R$ 409 milhões, e o Ebitda do varejo pro-forma foi negativo em R$ 34,8 milhões ante resultado positivo de R$ 24 milhões um ano antes.",0,1,0 misclassified as 1
"AÉREAS. Governo está revendo a proposta de socorro e discute uma agenda para o setor, que pode envolver crédito para investimentos sustentáveis e mudanças regulatórias para diminuir o grau de judicialização e abrir o mercado interno a companhias estrangeiras…",0,1,0 misclassified as 1
"INSPIRA. Segunda maior rede de educação básica do Brasil, recebeu um investimento de R$ 1 bilhão do Advent, fundo americano de private equity, antes de uma oferta inicial de ações (IPO).",0,1,0 misclassified as 1
"… Apesar das desconfianças fiscais, Campos Neto manifestou, em entrevista à Folha no final de semana, otimismo de que o governo Lula tem condições de entregar um déficit menor do que a projeção do mercado (0,7% a 0,8% do PIB)",1,-1,1 misclassified as -1
"… Disse ainda não ser possível projetar a Selic terminal. Na 6ªF, após o PIB estável e sem surpresas do 4Tri, o mercado manteve a aposta de que o Copom vai derrubar o juro em meio ponto pelo menos mais uma vez (março).",0,1,0 misclassified as 1
"… Mas algumas casas já especulam que o BC possa remover do comunicado de política monetária deste mês o uso do plural empregado para sinalizar a continuidade do ritmo de cortes, lançando dúvidas sobre maio e junho.",0,-1,0 misclassified as -1
"… Nas últimas semanas, integrantes do Copom não têm escondido os receios com o impacto dos salários e da renda sobre a inflação de serviços, pondo em dúvida as chances de a Selic terminar o ciclo de relaxamento em um dígito.",-1,0,-1 misclassified as 0
"… Do lado da inflação, a semana começa com o IPC-Fipe de fevereiro (hoje, 5h), que deve desacelerar a 0,43%, contra 0,46% em janeiro, na mediana do Broadcast. Na 5ªF, vem o IGP-DI de fevereiro e, na 6ªF, a prévia do IPC-S.",0,-1,0 misclassified as -1
"… Aliados de Pacheco relataram ao Valor que estão incomodados por estarem sendo preteridos pela Câmara. Em episódio recente, causou ruído a escolha do senador Rogério Carvalho para a relatoria da CPI da Braskem.",0,-1,0 misclassified as -1
"… “Eu tentei dar conforto para ele [Haddad] que o BC tem flexibilidade, que a gente pode discutir, que nada vai ser feito à revelia”, disse RCN. Em seu perfil no X, Gleisi reagiu à PEC, que “submete o Brasil a uma ditadura monetária”.",0,1,0 misclassified as 1
"… Na zona do euro, a pressão na leitura preliminar de fevereiro do CPI (2,6%) anulou as esperanças de um corte prematura do juro (abril) e o BCE só deve ficar confortável para sinalizar na próxima 5ªF um desaperto em junho.",0,-1,0 misclassified as -1
"PETRÓLEO – Confirmando a expectativa que puxou com força as cotações do petróleo na 6ªF (abaixo), a Bloomberg informou neste domingo que a Opep+ decidiu estender os cortes na produção, de 2 milhões de bpd, até final do 2Tri.",0,-1,0 misclassified as -1
"… Por aqui, pesaram os desempenhos modestos de Vale (-0,16%; R$ 66,88), que refletiu de longe a forte queda de 1,75% do minério em Dalian, e Petrobras, que não conseguiu absorver os ganhos do petróleo. ",0,-1,0 misclassified as -1
"… As altas vieram das expectativas, confirmadas neste domingo, de que a Opep+ estenderia os cortes voluntários de produção para o fim do segundo trimestre.",0,-1,0 misclassified as -1
… Recuo dos yields dos Treasuries e PIB brasileiro estável no 4Tri reduziram os prêmios dos DIs.,0,-1,0 misclassified as -1
"… No fechamento, o DI para Jan25 caiu a 9,940% (de 9,956%). O DI Jan26, a 9,735% (9,784%). O Jan27, a 9,935% (9,976%); o Jan29, a 10,365% (10,411%); Jan31, a 10,610% (10,657%); e Jan33, a 10,730% (de 10,776%).",0,-1,0 misclassified as -1
"… O dólar fechou em baixa de 0,35%, aos R$ 4,9553, com perda semanal de 0,76% na semana.",1,0,1 misclassified as 0
"… Um potencial “boom de produtividade” proveniente dessa tecnologia poderá continuar a alimentar os ganhos do mercado de ações nos próximos anos, afirmou.",0,1,0 misclassified as 1
"… Na 6ªF, a queda dos juros dos Treasuries foi outro fator a ajudar as bolsas. O dia foi volátil.",0,-1,0 misclassified as -1
… Slok escreveu que a economia dos EUA não está suavizando e que o chamado “pivô do Fed” em dezembro criou um vento favorável ao crescimento desde então.,0,1,0 misclassified as 1
"… Medido pelo ISM, o PMI industrial dos EUA caiu a 47,8 em fevereiro, ante 49,1 em janeiro e previsão de 49,5.",1,0,1 misclassified as 0
"… O consumidor ficou menos otimista. O índice de sentimento da Universidade de Michigan caiu a 76,9 em fevereiro, de 79,0 em janeiro. Analistas esperavam avanço a 79,6.",1,0,1 misclassified as 0
"… Os investimentos em construção caíram 0,2% em janeiro ante dezembro, quando se esperava alta de 0,2%.",1,0,1 misclassified as 0
"… Quanto a Waller, o diretor do BC americano defendeu uma desaceleração do ritmo de redução do balanço. Também disse ser favorável a uma parcela maior de títulos do Tesouro de curto prazo.",0,-1,0 misclassified as -1
"… Na bateria de discursos de dirigentes do Fed na 6ªF, Tom Barkin reiterou não ter pressa de cortar juros. “Veremos se vamos reduzir, a economia dirá o que devemos fazer”, afirmou.",0,-1,0 misclassified as -1
"… Logo depois, Robert Holzmann (BCE) voltou a alertar contra cortes prematuros nos juros. Para o ING, a lentidão na desinflação levará o BCE a manter juros em março e abril. Mesma opinião do BofA, Oxford e Capital Economics.",1,0,1 misclassified as 0
"… A libra também avançou 0,25%, a US$ 1,2657. Huw Pill (BoE) disse que um corte nos juros “ainda demora um pouco” e que é preciso evitar uma “falsa sensação de segurança” ao avaliar se a inflação caminha para a meta de 2%.",1,0,1 misclassified as 0
"… O iene caiu 0,15%, a 150,16/US$. O índice DXY recuou 0,28% no dia e caiu 0,07% na semana.",1,0,1 misclassified as 0
"… Faltando uma semana para o IPCA de fevereiro, o presidente do BC insistiu ontem, na ACSP, que os preços estão em trajetória de queda, mas a pressão nos serviços continua rodando acima do período pré-pandemia (2018/19).",-1,0,-1 misclassified as 0
"… Reforçou ainda as declarações que já havia dado no final de semana de viés mais positivo para as contas públicas, que, em sua avaliação, podem ter neste ano um déficit menor do que o projetado pelos economistas.",0,-1,0 misclassified as -1
"… O investidor sabe que zerar o déficit é uma promessa feita só para não ser cumprida. Mas se puder sonhar com alguma coisa melhor do que -0,70% (no Focus, a aposta está em -0,78%), a percepção fiscal já estará mais ancorada.",0,1,0 misclassified as 1
"… Um resultado “menos pior” das contas públicas continuará dependendo de um crescimento econômico mais consistente, das surpresas positivas da arrecadação federal e do enfrentamento do governo à revisão de gastos.",0,1,0 misclassified as 1
"… Segundo ela, o impacto cheio dos 9% de reajuste de 2023 (a partir de junho) está ocorrendo neste ano e consome mais de R$ 4 bilhões. A ministra disse que o espaço orçamentário será destinado a reajuste no auxílio-alimentação.",0,-1,0 misclassified as -1
"… Dweck só prevê aumento salarial em 2025, de 4,5%, e do mesmo porcentual em 2026, de forma linear.",1,0,1 misclassified as 0
"… Ela avaliou que o contingenciamento no orçamento para cumprir a meta fiscal, que será apresentado em março, no primeiro relatório bimestral de receitas e despesas (dia 22), deve ser “muito menor” do que o esperado.",0,1,0 misclassified as 1
… Tebet antecipou que a arrecadação de fevereiro veio acima do esperado (como a de janeiro).,1,0,1 misclassified as 0
"… Na consulta ao TCU, o Planejamento estimou que a regra prevista na LDO limitaria o bloqueio a um valor máximo de R$ 25,9 bi, contra cerca de R$ 50 bi que o mercado estimou como necessários para o governo cumprir a meta.",-1,1,-1 misclassified as 1
"… Ainda no front fiscal, o ministro Alexandre Padilha disse que Haddad vai esclarecer aos deputados os números do programa emergencial para o setor de eventos (Perse), que deve ser extinto pelo governo para elevar a arrecadação.",0,-1,0 misclassified as -1
"DENTRO DO CÍRCULO – A B3 não registrava no acumulado de fevereiro uma fuga tão grande de capital externo para o mês, de R$ 9,452 bilhões, desde quatro anos atrás, quando a pandemia do coronavírus estava prestes a estourar.",-1,1,-1 misclassified as 1
"… Com o investidor à espera de Powell, payroll e possíveis estímulos na China, a 2ªF foi de liquidez baixa e oscilações estreitas nos mercados domésticos.",0,-1,0 misclassified as -1
"… O mercado de óleo bruto, que disparou na 6ªF com a expectativa de a Opep+ estendesse o corte de produção até o 2Tri, caiu ontem com a confirmação da notícia.",0,-1,0 misclassified as -1
"… O Brent/maio, -0,90%, a US$ 82,80 por barril, na ICE. O WTI abril, -1,54%, a US$ 78,74 na Nymex.",1,0,1 misclassified as 0
"… No fechamento, o DI para Jan25 caiu a 9,920% (de 9,930%). O DI Jan26, a 9,725% (9,737%). O Jan27, a 9,925% (9,933%); o Jan29, a 10,355% (10,371%), o Jan31 caiu a 10,590% (10,620%); e o Jan33 fechou estável em 10,700%.",1,-1,1 misclassified as -1
"… A aposta é que, com a economia forte e a inflação em queda lenta, o presidente do Fed vai redobrar a mensagem de que não há pressa em cortar os juros, como vêm fazendo os demais dirigentes em seus discursos diários.",0,-1,0 misclassified as -1
"… A libra teve alta de 0,26%, a US$ 1,2691, e o iene caiu 0,28%, a 150,50/US$. Em meio à expectativa de mudança na postura do BoJ, o Rabobank prevê que uma elevação dos juros pelo BC japonês em abril é mais provável.",-1,0,-1 misclassified as 0
"… Mas o banco holandês avalia que o iene pode ganhar fôlego antes da decisão de 19 de março do BoJ, com alguma especulação sobre mudança já agora nos juros.",0,1,0 misclassified as 1
"… De acordo com o relatório a ser apresentado ao Congresso americano, o Fed considera que os juros estão no pico do ciclo de aperto, mas que ainda não parece apropriado cortar as taxas antes de ter maior confiança na desinflação.",0,-1,0 misclassified as -1
… O relatório aponta que os riscos geopolíticos (guerra da Rússia contra a Ucrânia e potencial expansão do conflito entre Israel e o Hamas) são capazes de ampliar pressões inflacionárias ou renovar o estresse do sistema financeiro.,0,-1,0 misclassified as -1
"… Mas que, no geral, o setor bancário permanece sólido e resiliente, após a turbulência aguda de um ano atrás.",-1,0,-1 misclassified as 0
"GALÍPOLO – Durante palestra em evento promovido pela APCE (André Perfeito Consultoria), o diretor do BC ressaltou os receios com a inflação de serviços, mas disse não ter segurança de onde exatamente vem a pressão.",-1,0,-1 misclassified as 0
"… Sobre a Selic, afirmou que faltam informações para “tatear qual será a taxa terminal” e que, mais importante do que o forward guidance do Copom (que prevê pelo menos mais dois corte de 0,5pp), são os indicadores econômicos.",1,0,1 misclassified as 0
"… “Se eventualmente vier a acontecer alguma mudança na orientação da política monetária, não significará necessariamente relação com uma taxa terminal de juros”, disse, na declaração que pode levantar especulações.",0,1,0 misclassified as 1
"… É a segunda vez em quatro dias que Galípolo se refere ao forward guidance, qualificado por ele na última 6ªF de “esporte de altíssimo risco”. O mercado pode achar que o Copom vai tirar o plural da sinalização de corte da Selic.",0,-1,0 misclassified as -1
"O RECUO NO PERSE – Pressionado pelo lobby do setor de eventos no Congresso, Haddad saiu ontem de uma reunião com Lira e lideranças da Câmara dizendo que a equipe econômica aceita voltar atrás na ideia de acabar com o Perse.",-1,0,-1 misclassified as 0
"… Segundo o ministro, uma versão mais restrita do programa de socorro ao setor de eventos será enviada ao Congresso na semana que vem em projeto de lei com urgência constitucional (prazo de 45 dias para ser apreciado).",-1,0,-1 misclassified as 0
"… Assim, o PL deve ser votado em abril, dentro da vigência da MP 1.202, que vai até maio. Haddad afirmou, porém, que a MP (que atualmente revoga o Perse, reonera as prefeituras e limita compensações tributárias) será mantida.",-1,1,-1 misclassified as 1
… O relatório definirá quanto será necessário bloquear de despesas para o cumprimento da meta fiscal de zerar o déficit das contas públicas em 2024 e toda e qualquer receita computada ajuda a reduzir o contingenciamento.,0,-1,0 misclassified as -1
"… Dois dias atrás, a ministra Simone Tebet antecipou que o bloqueio deve ser “muito menor” do que o esperado, diante das surpresas positivas da arrecadação federal em janeiro e também em fevereiro (ainda não divulgada). ",-1,1,-1 misclassified as 1
"… Ainda Campos Neto (BC) vem expressando menor percepção de risco fiscal, confiando que o governo tem condições de entregar um déficit primário menor do que a projeção do mercado, de 0,7% a 0,8% do PIB.",0,-1,0 misclassified as -1
"… Após semanas de negociação, os líderes partidários ainda avançaram nesta 3ªF no acordo para a distribuição das comissões temáticas da Câmara, embora ajustes no mapa dos colegiados ainda não estejam descartados.",0,-1,0 misclassified as -1
"… Em revés para o governo Lula, a Comissão de Constituição e Justiça (CCJ), considerada o principal colegiado da Casa, deve ficar sob o comando do PL, a CMO deve ser presidida pelo PP e a de Saúde tende a ficar com o PT.",-1,0,-1 misclassified as 0
"… Na tentativa de melhorar o ambiente com os congressistas, Lula promoveu happy hour na noite de ontem no Palácio do Alvorada com Pacheco e os senadores, duas semanas depois de ter recebido os deputados.",-1,0,-1 misclassified as 0
"MAIS AGENDA – A produção industrial medida pelo IBGE deve reverter a alta de 1,1% em dezembro e cair 1,6% em fevereiro (mediana de pesquisa Broadcast). O intervalo das projeções vai de contração de 2,2% a expansão de 0,1%.",-1,0,-1 misclassified as 0
"… O câmbio deve monitorar as transações correntes (8h30), com previsão de déficit de US$ 5,6 bi em janeiro, após saldo negativo de US$ 5,834 bilhões em dezembro. Para o IDP, a mediana indica entrada líquida de US$ 5,10 bi.",-1,0,-1 misclassified as 0
"… Na agenda dos indicadores, o relatório ADP deve apontar a criação de 150 mil vagas de emprego no setor privado em fevereiro, acima de janeiro (107 mil). Os números elevam a expectativa do mercado pelo payroll da 6ªF.",1,0,1 misclassified as 0
"… Ao meio-dia, saem os estoques no atacado, com previsão de queda de 0,1% em janeiro. Os estoques de petróleo do DoE (12h30) devem apontar crescimento de 1,3 milhão de barris. O BC do Canadá decide juro às 11h45.",0,1,0 misclassified as 1
"PEÇA DE FICÇÃO – A não ser que a China ainda venha com um choque de estímulos, analistas estão desconfiados que a meta de Pequim para o PIB deste ano, de “cerca de 5%”, possa não ser para valer e esteja superestimada.",-1,0,-1 misclassified as 0
"… A recomendação da Vale foi rebaixada para neutra, com preço-alvo de US$ 16, e o papel ON fechou em queda de 1,32%, a R$ 65,85. Petrobras (ON, -0,61%, a R$ 40,80; e PN, -0,30%, a R$ 39,96) opera na defensiva pelos dividendos.",0,-1,0 misclassified as -1
… A melhora da percepção do risco fiscal doméstico contribuiu para tirar mais prêmio da curva,1,-1,1 misclassified as -1
"… Os comentários positivos de Campos Neto e Simone Tebet na véspera continuaram a ter impacto no mercado e a precificação de Selic terminal voltou a ficar abaixo de 9,50% na curva do DI.",1,-1,1 misclassified as -1
"… Outro fator positivo foi a queda da expectativa para o IPCA 2024 no Focus, de 3,80% para 3,76%, embora para 2025, que é agora o foco da política monetária, a projeção tenha seguido em 3,51%.",1,0,1 misclassified as 0
"… A Warren vê um resultado menos ruim. A casa reduziu a projeção de -0,79% para -0,74% do PIB por causa do sucesso parcial das medidas de aumento da receita e o contingenciamento de despesas possível previsto na LDO.",1,0,1 misclassified as 0
"… No fechamento, o DI para Jan25 caiu a 9,890% (de 9,925%). O DI Jan26, a 9,685% (9,735%). O Jan27, a 9,885% (9,936%); o Jan29, a 10,320% (10,363%), o Jan31 caiu a 10,570% (10,603%), e o Jan33, a 10,680% (10,711%).",1,-1,1 misclassified as -1
"XEPA NAS TECHS – Não foi um dia de boas notícias para as big techs e o fato de estarem muito compradas ajudou na liquidação do dia. O setor derrubou as bolsas em NY, mesmo com dados fracos nos EUA tirando prêmios dos juros.",0,-1,0 misclassified as -1
"… Também foi um dia de fuga do risco, à espera da mensagem de Powell ao Congresso nesta 4ªF, e do payroll na 6ªF.",-1,0,-1 misclassified as 0
"… Meta (-1,60%) andou às voltas com um apagão de cerca de 1h30, em nível global, no Facebook e no Instagram. A empresa creditou o problema a questões técnicas.",0,-1,0 misclassified as -1
"… As vendas de ontem não foram um sinal de pânico, disse Michael Sansoterra (Silvant Capital Management), mas um ajuste. “São apenas movimentos normais do mercado no que tem sido um ano de forte alta até agora”.",0,-1,0 misclassified as -1
"… As encomendas à indústria caíram 3,6% em janeiro ante dezembro, pior do que os -2,8% esperados.",1,0,1 misclassified as 0
"… Os PMIs de serviços vieram mistos. Mas o mais acompanhado pelo mercado, o medido pelo ISM, recuou a 52,6 em fevereiro, de 53,4 em janeiro. A previsão era de 52,8.",1,0,1 misclassified as 0
"EM TEMPO… Produção total de petróleo da PRIO atingiu 82.813 barris de óleo equivalente por dia (boepd) em fevereiro, queda de 13,3% em relação a janeiro, segundo dados preliminares.",0,1,0 misclassified as 1
"YDUQS aprovou 10ª emissão de debêntures, no valor de R$ 1,1 bilhão.",0,1,0 misclassified as 1
"… Já na semana passada, o investidor começou a desconfiar que a Petrobras não pagaria dividendos extraordinários.",0,-1,0 misclassified as -1
"… O ruído vinha desencadeando tombo das ações da estatal nos últimos dias, o que não quer dizer que a decepção já esteja absorvida. O investidor vai querer “bater” em Petrobras, mesmo porque o lucro do 4Tri também decepcionou.",0,-1,0 misclassified as -1
"O NOVELÃO DA VALE – A expectativa é de que o encontro de hoje tenha mais sucesso do que o de 15 de fevereiro, quando o conselho de administração rachou e uma votação sobre a sucessão no comando terminou empatada",0,-1,0 misclassified as -1
"… Coincidindo com a queda na popularidade, o presidente disse que “vai discutir com a Câmara e o Senado esse limite de gastos e vamos ver como é que a gente pode utilizar mais dinheiro para fazer mais benefício para o povo”.",-1,0,-1 misclassified as 0
"… A meta de Haddad de zerar o déficit no ano segue como um grande desafio e um bloqueio nos gastos em março não está descartado no primeiro relatório bimestral de receitas e despesas, daqui a exatamente duas semanas.",-1,1,-1 misclassified as 1
"PEC DA AUTONOMIA FINANCEIRA DO BC – O relator, senador Plínio Valério (PSDB-AM), está otimista com a tramitação e diz que a proposta vai andar, independente das resistências enfrentadas dentro do governo.",1,-1,1 misclassified as -1
"… A PEC, apresentada em dezembro, foi defendida abertamente por Campos Neto em entrevista recente à Folha. ",1,0,1 misclassified as 0
"PAYROLL – Depois da “dramática aceleração” (como disse a Capital Economics) do emprego em dezembro e janeiro, o mercado espera uma baixada de bola na geração de vagas de trabalho e nos salários em fevereiro nos EUA.",-1,0,-1 misclassified as 0
"… O consenso é de abertura de 200 mil postos de trabalho, marcando desaceleração contra os 353 mil de janeiro. A taxa de desemprego deve se manter em 3,7% e salário médio/h deve avançar 0,2%, já longe do 0,55% de janeiro.",-1,0,-1 misclassified as 0
… Números mais amenos serão importantes para endossar a percepção de Powell de que o Fed pode não estar tão longe de cortar o juro e que não vai esperar a inflação bater na meta de 2% para iniciar o ciclo de desaperto.,-1,0,-1 misclassified as 0
"… Aqui, saem a primeira prévia de março do IPC-S (8h), as concessões de crédito livre em janeiro (8h30) e captação da poupança em fevereiro (9h), informadas pelo BC, além do fluxo nas estradas pedagiadas em fevereiro (10h).",0,-1,0 misclassified as -1
"… Segundo ele, em apenas três anos, 15 milhões de novos empregos foram criados nos EUA e a inflação caiu de 9% para 3%, tornando-se a “mais baixa do mundo”. Biden ainda prometeu reduzir déficit federal em US$ 3 trilhões.",0,-1,0 misclassified as -1
"… Para Guillen, a orientação da política monetária sobre a Selic terminal “traz mais ruído do que sinal”.",0,-1,0 misclassified as -1
"… Até aqui, o Copom mantém a sinalização no plural de pelo menos mais dois cortes de meio ponto no juro. Mas uma mudança na comunicação parece contratada, segundo a avaliação do economista André Perfeito ao Broadcast.",0,1,0 misclassified as 1
"… A pressão da inflação de serviços apressará o BC a se desobrigar de repetir a dose de queda de 0,5pp da Selic após a reunião de maio, acredita o economista, que projeta Selic terminal de um dígito (9,75%), acima do Focus (9%).",0,-1,0 misclassified as -1
"… Analistas do Citi estimam juro ainda maior no final do ciclo de relaxamento monetário, de 10%, com o Copom preferindo bancar o conservadorismo, diante do desafio do processo de levar a inflação de volta à meta de 3%.",0,-1,0 misclassified as -1
"… O resultado primário positivo de R$ 102,146 bilhões divulgado pelo BC – o maior para qualquer mês do ano – ficou acima da expectativa de R$ 98,3 bilhões.",1,-1,1 misclassified as -1
"… Acompanhando a baixa da moeda lá fora, o dólar à vista fechou em leve queda de 0,23%, a R$ 4,9337.",1,-1,1 misclassified as -1
"… Ao longo de um discurso que foi praticamente uma reprise do dia anterior na Câmara, uma mensagem de Powell se destacou na audiência no Senado: “Não estamos longe de termos confiança com a inflação para cortar juros”.",-1,0,-1 misclassified as 0
"… Powell ainda observou que os cortes “podem e começarão” este ano, acrescentando que o Fed está bem consciente dos riscos de reduzir os juros tarde demais.",-1,0,-1 misclassified as 0
"… Embora não tenha citado datas, a declaração reforçou a aposta de que o primeiro corte vem em junho.",0,-1,0 misclassified as -1
"… “Teremos poucos dados em abril, mas muitos em junho para embasar a política monetária”, disse ela, na entrevista para comentar a decisão do BCE, ontem, que reduziu as projeções de inflação.",0,1,0 misclassified as 1
"… Assim como Powell tinha feito um dia antes, Lagarde reafirmou que o corte de juros na zona do euro virá antes que a inflação bata a meta de 2%.",0,-1,0 misclassified as -1
"… No fim da tarde, o retorno da note de 2 anos caía a 4,509% (de 4,551%) e o da note de 10 anos cedia a 4,091% (4,104%). Já o juro do T-bond de 30 anos subia a 4,248% (4,233%).",0,-1,0 misclassified as -1
"… No câmbio, o índice dólar (DXY) teve queda expressiva (-0,52%) pelo 2º dia seguido, a 102,823 pontos.",0,-1,0 misclassified as -1
"… Com Lagarde descartando queda de juros em abril, o euro avançou 0,48%, a US$ 1,0951. A libra subiu 0,55%, a US$ 1,2810.",-1,0,-1 misclassified as 0
"… A expectativa de mudança em breve na política monetária de juros negativos do Japão rendeu mais um dia de forte alta do iene: +0,87%, a 162,18/US$.",0,-1,0 misclassified as -1
"… Reportagem da Folha deste domingo diz que o foco do governo, segundo interlocutores, é “dar um sinal fiscal mais forte” para que a Selic volte a um dígito pela primeira vez desde fevereiro/22 e recupere a imagem de Lula.",-1,0,-1 misclassified as 0
"… A equipe econômica considera ideal ao menos três cortes adicionais no juro, de 0,5pp cada (março, maio e junho). Mas a tentativa de garantir um ambiente propício para o Copom continuar derrubando a taxa esbarra na inflação.",-1,0,-1 misclassified as 0
"… O indicador pega o mercado sob os alertas do BC quanto aos preços dos serviços, que trazem insegurança e possivelmente estariam por trás da intenção já levantada por Galípolo e Guillen de abandonar o forward guidance.",-1,0,-1 misclassified as 0
