cleaned_article,label,classification_multi,classification_binary
lula convocar hoje reunião ministerial ano encontro reunir ministro planalto ocorrer queda aprovação governo federal pesquisa opinião crise petrobras,0,0,
participar encontro haddad desistir viagem fazer alemanha tratar transição ecológico,0,0,
captações governo pedir senado ampliação bilhão bilhão bilhão teto estabelecer emissão título público exterior informar estadão,-1,0,1.0
bcs boe inglês decisão política monetário semana optar manter juro reunião seguir coragem cortar inflação,0,0,
dia decisão reino unido divulgar dado índice preço consumidor ppi fevereiro hoje dia inflação consumidor zona euro sair pmi compor lagarde bce discursa amanhã,0,0,
powell participar evento day after fed agenda indicador estados unidos fraco semana prever leitura preliminar março pmi compor índice nahb construtora hoje,0,0,
semana bcs austrália hoje turquia méxico rússia colômbia decidir juro japão feriado dia equinócio deixar mercado financeiro fechar,0,0,
japão organização sindical rengo confirmar negociação salarial desencadear aumento salarial médio ganho ano reforçar aposta alta juro hoje,0,0,
haver ano taxa negativo boj resolver promover pivô hawkish ser ano decidir apertar política monetário marcar virado histórico estratégia,0,0,
china hoje produção industrial subir bimestre igual período ano passado resultado vir acima esperar analista consultar wall street journal avanço,0,0,
venda varejo avançar comparação anual janeiro fevereiro superar projeção,0,0,
rússia vitória putin mandato domingo levantar contestação estados unidos ucrânia,0,-1,
eleição suspense pano fundo duro repressão oposição político liberdade expressão rússia soviético candidato simbólico autorizar concorrer,0,0,
comunicado casa branca dizer processo obviamente livre justo presidente ucrânia volodymyr zelensky criticar legitimidade eleição russo farsa ilegítimo acusar,0,0,
cenário singular aversão risco exterior dar surpreendentemente forte atividade doméstico pesar juro dólar índice bovespa,0,-1,
dia anterior estados unidos divulgar ppi acima esperar investidor estar ajustar posição cenário corte juro estados unidos,0,-1,
possibilidade copom encerrar ciclo corte especial liquidação custódia dígito causa economia aquecir impacto inflação,0,0,
varejo brasileiro surpreender serviço ficar acima esperar janeiro ante dezembro dado dezembro ajustar alta,0,1,
dado caged fevereiro ficar mostrar vaga criar dobro mediana estimativa,0,0,
colocar viés alta projeção produto interno dar força debate mudança forward guidance copom substituição plural singular próximo reunião,0,1,
sergio vale mb associados dado preocupação condução política monetário especialmente inflação serviço devidamente domar,0,0,
caso atividade continuar surpreender visão ver especial liquidação custódia abaixo consenso mercado mudar,0,-1,
juro subir depósito interfinanceiro avançar subir,-1,-1,-1.0
precificação especial liquidação custódia terminal dis véspera indicar aposta subir,-1,-1,-1.0
dólar acompanhar clima ruim testar teto grande dia pressão diminuir expectativa copom conservador favorecer carry trade,-1,1,1.0
mau humor externo contaminar índice bovespa fechar queda problema vale pressionar novamente índice,-1,-1,-1.0
recuo ação vir causa minério ferro cotar abaixo t agosto dalian perda forte,-1,-1,-1.0
declaração empresa josé luciano duarte penido haver interferência político processo sucessão eduardo bartolomeo continuar pesar,-1,0,-1.0
giro ibov inflar vencimento opção ação,0,0,
direção único petrobra on cair pn subir ice petróleo brent maio ficar estável barril wti abril recuar nymex,0,0,
semana brent subir wti alta,-1,0,-1.0
ação ligar consumo penalizar alta juro futuro cogna yduqs liderar perda último repercussão resultado,0,0,
casas bahia cair lojas renner baixar,0,-1,
bancos ficar misto banco brasil ganhar santander unit subir bradesco pn cair bradesco on ceder itaú unibanco recuar,0,0,
grande alta pregão azul petroreconcavo hypera,0,0,
espera fed percepção fed indicar ritmo corte juro semana continuar pressionar bolsa ny abastecer rodada alta juro treasuries,0,-1,
resistência inflação fevereiro surpreender mercado aposta início flexibilização sigo majoritária junho cair chance julho subir cme,0,0,
dado misto atividade dia ajudar formar aposta firme estados unidos informar produção industrial vir acima esperar estabilidade fevereiro,-1,-1,-1.0
dado janeiro revisar,0,-1,
leitura preliminar índice sentimento consumidor estados unidos cair fevereiro março expectativa avanço,0,-1,
expectativa inflação vir cair ficar seguir ano,0,-1,
lombard odier asset dado apontar economia fraco preço desaceler ritmo lento último dia mercado preferir abraçar narrativa inflação,0,-1,
ny peso alta retorno treasuries techs recuar nasdaq perder dow jones cair recuar,0,-1,
semana índice acumularar perda respectivamente,0,0,
tom cautela atribuir triple witching vencimento triplo opção ação índice futuro,0,0,
evento geralmente aumentar volatilidade mercado ocorrer delicar intensificar debate gráfico divulgar reunião fomc,0,0,
treasuries juro note ano avançar note ano subir ano cair,1,-1,-1.0
câmbio índice dxy ficar estabilidade semana subir alta semanal índice preço consumidor ppi forte esperar,0,0,
euro ficar estável libra ficar quase parado apesar expectativa boj elevar juro ano semana iene cair,0,0,
x antigo twitter presidente petrobras jean paul prates voltar defender noite exploração petróleo margem equatorial litoral norte brasil elemento fundamental transição energético,0,-1,
noite petrobra reiterar prometer sinalizar direção dividendo extraordinário evento analista investidor ny janeiro haver afirmar comunicar dia março,0,0,
empresa notícia voltar circular imprensa equivocar,0,0,
petrobra afirmar repudiar vazamento relatório técnico embasar discussão balanço administração informar tomar medida interno apuração responsabilização envolvido,0,0,
fato relevante companhia informar discutir mubadala capital formação parceria downstream avaliar aquisição participação refinaria mataripe refmat projeto biorrefinaria integrar biorrefinaria,0,0,
abreu lima andrade gutierrez novonor antigo odebrecht volta refinaria pivô operação lava jato empresa vencedora licitação obra complementação rnest,0,0,
construção início semestre ano procurada petrobras responder informação estadão,0,0,
braskem petroleira adnoc abu dhabi novonor sentar mesa oferta vinculante petroquímica tornar realidade reunião parte ocorrer semana apurar coluna estadão,0,0,
novonor defender revisão acordo leniência fechar união necessário refletir atual situação empresa faturar hoje faturar operação lava jato,0,0,
vale presidente substituir eduardo bartolomeo acionista representativo mineradora,1,0,-1.0
condição indicado ter conexão governo investidor retirar encontro administração mineradora passado decidir troca comando empresa,0,0,
mesmo reunião ficar acertado contratação empresa recrutamento executivo experiência internacional junho trabalho seleção lista tríplice nome encaminhar ser fazer setembro,0,0,
marisa divulgar prévia resultado financeiro operacional referente preliminar auditar lucro bruto varejo totalizar m ano,0,0,
receita líquido varejo recuar m ebitda varejo negativo m ante resultar positivo m ano,0,0,
gafisa informou noite sábado cvm decidir irregular convocação assembleia extraordinária age fundo esh theta dia assembleia ter pauta troca administração gafisa,0,0,
técnico colegiado cvm entender gafisa haver atendir pleito esh theta chamar assembleia abril caso chegar reguladora mercado pedido fundo estocolmo ravello,0,0,
construtoras setor construção civil pressionar governo reduzir subsídio oferta crédito compra imóvel usar linha atrelar recurso fundo garantia serviço fundo garantia serviço,0,0,
dado câmara brasileira indústria construção cbic cerca unidade financiar programa casa vida mcmv hoje imóvel usar linha voltar classe médio unidade usar,0,0,
petz petlove citi avaliar potencial combinação negócio empresa sentido conforme notícia circular levar oscilação ação petz índice bovespa,0,0,
broadcast petlove negar veementemente existência negociação envolver fusão petz,0,0,
oncoclínicas aprovou emissão debêntur simples conversível ação espécie quirografária série prazo vencimento ano ano serão debêntur unitário,0,0,
raízen comunicar publicar autorização início produção etanol geração parque bioenergia bonfim cidade guariba sp outorgar agência nacional petróleo gás natural biocombustíveis anp,0,0,
companhia iniciar comercialização planto g esperar capacidade nominal produção metro cúbicos anual comunicar encaminhar mercado,0,0,
emae diretor programa estadual desestatização aprovar condição geral privatização emae governo divulgar edital termo venda participação companhia,0,0,
informação prestar empresa comissão valores mobiliários cvm fato relevante,0,0,
venda emae ser tratar governo paulo termômetro futuro privatização sabesp,0,0,
sabesp consulta público contrato concessão receber sugestão população processo concluir noite governo paulo afirmar incorporar minuta privatização proposta aperfeiçoem projeto,0,0,
aéreas governo rever proposta socorro discutir agenda setor envolver crédito investimento sustentável mudança regulatório diminuir grau judicialização abrir mercado interno companhia estrangeiro,0,1,
apurar folha dificuldade financeiro empresa aéreo ser endereçar negociação reestruturação dívida situação demandar atuação emergencial evitar desestabilização setor,0,0,
inspira rede educação básico brasil receber investimento bilhão advent fundo americano private equity oferta inicial ação ipo,0,1,
pressão estímulo economia governo pequim promover semana reunião plenária anual estados unidos payroll fevereiro powell congresso americano comentar relatório semestral política monetário fed recomendar cortar juro confiança desinflação reforçar aposta ciclo começar junho bce reunir deixar agir junho campos neto palestra hoje sp dizer semana otimista governo entregar déficit fiscal projetar mercado noticiário corporativo causa suspense balanço petrobras polêmica dividendo,0,0,
investidor gostar prates plantar dúvida semana passado dividendo extraordinário contrariar aposta principal casa análise estatal poder anunciar distribuição bi,0,0,
comentário presidente estatal transição companhia potência energia renovável exigir cautela pagamento dividendo faltar fôlego papel petrobras,0,0,
ruído último imprensa veicular notícia abertura investigação apurar denúncia irregularidade contrato firmar petrobras unigel poder afetar cronograma balanço,0,0,
estatal garantir calendário divulgação mantido negar kpmg ter ser contratar auditoria recomendar diretor ser afastar certificação demonstração financeiro,0,0,
informação colunista lauro jardim globo processo desdobramento pedido investigação tcu apontar indício irregularidade prejuízo potencial mi petrobras,0,0,
caso respeito contrato industrialização encomenda tolling fertilizante firmar estatal dezembro unigel petrobras celebração contrato respeitar governança,0,0,
petrobras temporada balanço semana reserva csn csn mineração petroleum fleury arezzo cba petz zamp raia drogasil amanhã vibra pague hoje fechamento,0,0,
agenda indicador econômico notícia superávit primário bilhão conta governo central janeiro destaque resultado consolidar setor público sair,1,1,1.0
apesar desconfiança fiscal campos neto manifestar entrevista folha semana otimismo governo lula condição entregar déficit projeção mercado produto interno bruto,1,-1,-1.0
produto interno bruto dizer banco central estimativa ano crescimento afetar processo inflacionário reiterar seguir acompanhar inflação serviço efeito salário,0,0,
dizer projetar especial liquidação custódia terminal produto interno bruto estável surpresa mercado manter aposta copom derrubar juro março,0,1,
casa especular banco central poder remover comunicado política monetário uso plural empregar sinalizar continuidade ritmo corte lançar dúvida maio junho,0,-1,
durante palestra sp galípolo dizer forward guidance esporte altíssimo risco pagar querer deixar ar disposição sinalizar ver,0,0,
último semana integrante copom esconder receio impacto salário renda inflação serviço pôr dúvida chance especial liquidação custódia terminar ciclo relaxamento dígito,-1,0,-1.0
focus devido banco central ser divulgar amanhã projeção juro seguir entanto estimativa produto interno bruto repetir desempenho forte registrar,0,0,
salto recorde crescimento ano passado setor agropecuário sustentar supersafra bom preço mercado internacional perdurar ano contratar produto interno bruto doméstico brando,1,1,1.0
agenda ritmo atividade econômico ser conferer semana dado janeiro produção industrial dia sair balança comercial fevereiro transação corrente idp janeiro,0,0,
inflação semana comedir fevereiro hoje desacelerar janeiro mediana broadcast interfinanceiro fevereiro prévia,0,-1,
fluxo cambial fevereiro sair invés servidor banco central tesouro ggu entrar dia paralisação amanhã negociação reajuste salarial,0,0,
brasília ministro alexandre padilha informar haver reunião cmo discutir veto ldo,0,0,
outro atrito congresso prefeito ameaçar protesto revoltar decisão governo federal manter medida provisória reoneração folha pagamento pequeno município,0,0,
município insurgem equipe econômico fazenda chamar reunião semana relator pec criar refis prefeitura senador carlos portinho,0,0,
amanhã lula reunir senador confraternização palácio alvorada encontro repetir molde jantar realizar deputado federal pouco dia ter criar ciumeira,0,0,
aliados pacheco relatar incomodado estar ser preterir câmara episódio recente causar ruído escolha senador rogério carvalho relatoria índice preço consumidor braskem,0,-1,
pacheco haver avalizar renan calheiros vaga visão interlocutor planalto acabar privilegiar vontade presidente câmara arthur lira vetar nome renan adversário político,0,0,
banco central x pt entrevista dar folha campos neto defender costura acordo haddad aprovação pec ampliar autonomia instituição financeiro conversar último,0,0,
conforto haddad banco central flexibilidade gente discutir fazer revelia dizer rcn perfil x gleisi reagir pec submete brasil ditadura monetário,0,1,
precificado majoritariamente corte juro fed junho mercado acompanhar estados unidos payroll presença powell capitólio pesquisa emprego adp livro bege,0,0,
presidente fed filadélfia patrick harker vota ano rodízio discursa hoje,0,0,
noite biden discurso união abordar conflito geopolítico ucrânia gaza mercado monitora negociação israel hamas ramadã,0,0,
zona euro pressão leitura preliminar fevereiro índice preço consumidor anular esperança corte prematuro juro abril bce ficar confortável sinalizar desaperto junho,0,-1,
sair produto interno bloco europeu amanhã inflação produtor ppi pmi compor fevereiro ser informar alemanha reino unido estados unidos canadá peru decidir juro semana,0,0,
china hoje noite sair pmi compor fevereiro meder setor privado virada balança comercial bimestre inflação índice preço consumidor ppi noite repercutir semana,0,0,
consultoria oxford economics acreditar governo pequim reduzir semana baixa durante congresso anual meta anual crescimento econômico chinês cerca,0,0,
petróleo confirmar expectativa puxar força cotação petróleo abaixo bloomberg informar domingo decidir estender corte produção milhão bpd,0,-1,
rússia anunciar restringir oferta bpd período coordenação opep,0,0,
início discreto animação ny abaixo índice bovespa entrar março alta tímida produto interno bruto comportar instituto brasileiro geografia estatística ajudar aliviar juro bolsa índice subir,0,0,
pesar desempenho modesto vale refletir forte queda minério dalian petrobras conseguir absorver ganho petróleo,0,-1,
papel on ceder pn subir brent maio disparar barril ice wti abril subir semana ganhar respectivamente,0,0,
alta vier expectativa confirmar domingo estender corte voluntário produção trimestre,0,-1,
banco contraponto positivo bolsa bradesco on pn itaú subir banco brasil avançar santander unit ficar estável,0,0,
valorização sessão casas bahia repercussão anúncio companhia fechar instituição financeiro reperfilamento dívida bilhão,0,0,
embraer lojas renner oposto martinho liderar lista negativo,0,0,
cair informação mubadala capital abrir bolsa brasil semestre,0,0,
recuo yields treasuries produto interno bruto brasileiro estável reduzir prêmio dis,0,-1,
fechamento depósito interfinanceiro cair depósito interfinanceiro,0,-1,
câmbio favorecer comportamento juro estados unidos ganho petróleo expectativa anúncio estímulo atividade china congresso governo,1,1,1.0
dólar fechar baixa perda semanal semana,1,0,-1.0
techs bolsa ny receber impulso forte balanço dell renovar otimismo empresa tecnologia empresa lucro acima esperar causa aumento demanda ia,0,0,
ação disparar nvidia meta acompanhar ajudar nasdaq bater recorde dia consecutivo semana índice liderar alta ny subir,0,0,
aumento dramático mercado ação estados unidos último investidor começar acreditar etapa rali puxar techs dizer ma bmo wealth,0,0,
parecer acreditar ser pequeno fatia mercado beneficiar gasto ia dizer,0,0,
potencial boom produtividade proveniente tecnologia continuar alimentar ganho mercado ação próximo ano afirmar,0,1,
techs ajudar bater recorde ano avançar,0,0,
índice ganho semanal terminar alta último semana ver dj,0,0,
má notícia envolver new york community bancorp nybc incluír divulgação fraqueza material contabilidade troca ficar plano,0,0,
ação cair levar banco regional junto,0,0,
dow jones subir semana ceder,0,0,
queda juro treasuries outro fator ajudar bolsa dia volátil,0,-1,
relatório analista torsten slok apollo global management dizer fed cortar juro ano problema nycb pressionar rendimento,0,0,
slok escrever economia estados unidos suavizando chamado pivô fed dezembro criar vento favorável crescimento,0,1,
longo sessão indicador economia americano abaixo esperado sobretudo fala prestigiado cristopher waller balanço fed reduzir prêmio bonds americano,0,0,
medido ism pmi industrial estados unidos cair fevereiro ante janeiro previsão,1,0,-1.0
consumidor ficar otimista índice sentimento universidade michigan cair fevereiro janeiro analista esperar avanço,1,0,-1.0
investimento construção cair janeiro ante dezembro esperar alta,1,0,-1.0
ciclo dado fraco mercado voltar precificar majoritariamente corte juro fed chance cme queda flexibilização comedir junho,-1,-1,-1.0
waller diretor banco central americano defender desaceleração ritmo redução balanço dizer favorável parcela título tesouro curto prazo,0,-1,
lorie logan dallas discurso linha dizer ritmo gradual corte balanço implicar interrupção processo,0,0,
note ano yield chegar cair mínima semana fechar véspera juro note ano recuar ano cair,-1,-1,-1.0
bateria discurso dirigente fed tom barkin reiterar pressa cortar juro veremos ir reduzir economia dir dever afirmar,0,-1,
austan goolsbee chicago defender juro restritivo necessário dizer apesar inflação ceder último necessário dado pensar corte,0,0,
câmbio dólar perder espaço euro prévia índice preço consumidor região desacelerar fevereiro janeiro acima esperar moeda comum subir,1,1,1.0
robert holzmann bce voltar alertar corte prematuro juro ing lentidão desinflação levar bce manter juro março abril mesmo opinião bofa oxford capital economics,1,0,-1.0
libra avançar huw pill boe dizer corte juro demor preciso evitar falso sensação segurança avaliar inflação caminhar meta,1,0,-1.0
iene cair índice dxy recuar dia cair semana,1,0,-1.0
folha petrobras estar retardar pagamento m compensação ambiental exploração petróleo impacto,0,0,
dado fornecer icmbio via lei acesso informação lai mostrar haver empreendimento compensação pendente termo compromisso chegar assinar,0,0,
resposta petrobra dizer cumprir legislação obrigação,0,0,
unigel credores detentor debêntur empresa entrar pedido justiça contestar prazo estipular plano recuperação extrajudicial tratamento desigual credor,0,0,
acordo documento entregar justiça paulo debenturista pedir companhia apresente hora plano recuperação definitivo documento anexo broadcast,0,0,
vale previ enviar ofício cvm solicitar empresa torne público ato reunião extraordinário administração empate votação travar processo decisão liderança companhia,0,0,
gol arrendador avião empresa acionar concorrente latam companhia começar processo recuperação judicial estados unidos advogado aérea,0,0,
empresa objetivo latam interferir recuperação companhia chileno operar avião diferente usar empresa brasileiro,0,0,
gol abordagem arrendador tentativa latam violar proteção conferer recuperação judicial ativo gol,0,0,
operadora oi administrador judicial recomendar manter assembleia credor amanhã,0,0,
gafisa reiterar acionista desconsiderar age convocar março esh theta acionista companhia fundo gestora esh capital,0,0,
documento enviar cvm companhia dizer convocar age abril pedido esh ser data válido reunião,0,0,
preço indicar notificação venda ação mi atualizar variação acumular índice nacional preço consumidor amplo julho fevereiro totalizar montante,0,0,
americanas sa informar notificar acionista minoritário uni co exercer direito vender ação varejista m dono imaginarium puket,0,0,
companhia acrescentar avaliar termo proposta,0,0,
começar china congresso nacional estender domingo frustrar anunciar estímulo crise imobiliário abertura evento pequim manter meta produto interno bruto ano considerar ambicioso noite dado atividade setor serviço chinês vir véspera participação powell audiência congresso estados unidos agenda internacional fraco hoje reservar pmi serviço estados unidos europa dia esvaziar prever levantamento focus participação galípolo mercado fechar evento sp dia campos neto voltar transmitir percepção risco fiscal ter repetir alerta inflação serviço,0,0,
faltar semana índice nacional preço consumidor amplo fevereiro presidente banco central insistir acsp preço trajetória queda pressão serviço continuar rodar acima período,-1,0,-1.0
reforçar declaração haver dar semana viés positivo conta público avaliação ano déficit projetar economista,0,-1,
mercado ruim achar chance surpresa bom dizer,0,0,
investidor zerar déficit promessa fazer cumprir puder sonhar algum bom focus aposta percepção fiscal ancorado,0,1,
resultado mau conta público continuar depender crescimento econômico consistente surpresa positivo arrecadação federal enfrentamento governo revisão gasto,0,1,
folha jornalista adriana fernandes negociação reajuste salarial conduzir ministra esther dweck gestão merecer atenção panela pressão servidor estourar,0,0,
globo dweck afirmar haver espaço aumento salarial funcionalismo público ano haver excesso arrecadação cenário verificar governo maio informar ministra,0,0,
impacto cheio reajuste junho ocorrer ano consumir ministra dizer espaço orçamentário ser destinar reajuste,0,-1,
dweck prever aumento salarial porcentual linear,1,0,-1.0
campos neto ministra simone tebet expressar otimismo quadro fiscal,0,0,
avaliar contingenciamento orçamento cumprir meta fiscal ser apresentar março relatório bimestral receita despesa dia esperar,0,1,
bloqueio ser discussão ter teríar houver necessidade contingenciamento quase estar de esse,0,0,
tebet antecipar arrecadação fevereiro vir acima esperado janeiro,1,0,1.0
afirmar executivo provavelmente precisar urgência resposta tcu possibilidade bloquear necessário preservar meta fiscal,0,0,
consulta tcu planejamento estimar regra prever ldo limitar bloqueio bi cerca bi mercado estimar necessário governo cumprir meta,-1,1,1.0
front fiscal ministro alexandre padilha dizer haddad esclarecer deputado programa emergencial setor evento perse extinguir governo elevar arrecadação,0,-1,
acordo padilha haver data certo conversa hoje,0,0,
padilha dizer semana planalto pretender avançar discussão contribuição previdenciário município assunto causar desgaste último dia prefeito executivo,0,0,
hoje noite lula participar confraternização senador palácio alvorada,0,0,
agenda raia drogasil petroreconcavo soltar balanço trimestral fechamento mercado,0,0,
estados unidos regulação fed michael barr participar evento,0,0,
indicador estados unidos sair pmi global compor fevereiro pmi ism serviço piorar fevereiro janeiro encomenda indústria janeiro,0,0,
zona euro véspera bce sair inflação produtor ppi janeiro leitura fevereiro pmi global compor ser divulgar alemanha reino unido,0,0,
china hoje pmi serviço recuar janeiro fevereiro pesquisa realizar setor privado global resultado ficar abaixo expectativa analista mercado esperar,0,0,
pmi compor chinês englobar serviço indústria permanecer estável período apesar fôlego leitura acima indicar atividade china seguir território expansão,0,0,
círculo registrar acumulado fevereiro fuga capital externo ano pandemia coronavírus prestes estourar,-1,1,1.0
àquela época retirada acelerar imprevisibilidade vir frente demora fed cortar juro promover forte saída investidor estrangeiro bolsa,0,0,
profissional ouvir broadcast pontua dinheiro ir ser direcionar renda fixo seguir atrativo gringo aplicar diferencial interessante juro especial liquidação custódia,0,0,
investidor espera powell payroll possível estímulo china liquidez baixo oscilação estreita mercado doméstico,0,-1,
índice bovespa fechar baixa giro,0,0,
petrobra acompanhar queda petróleo ação on cair pn,0,0,
mercado óleo bruto disparar expectativa estender corte produção cair confirmação notícia,0,-1,
brent maio barril ice wti abril nymex,1,0,1.0
vale acompanhar leve queda minério ferro dalian,0,0,
bancos bradesco on pn itaú unibanco banco brasil santander unit,0,0,
pão açúcar liderar queda seguir petz alpargatas,0,0,
valorização irb influenciar elevação recomendação btg ação venda neutra,0,0,
embraer subir american airlines encomendar jato empresa,0,0,
câmbio dólar vista oscilar centavo grande mínima dia terminar leve baixo,1,1,1.0
declaração campos neto fiscal vir melhor esperar mercado colaborar viés baixa moeda,0,0,
taxa dis variar intervalo estreito fechar queda tímido contramão avanço treasuries dia agenda fraco liquidez reduzir,0,0,
fechamento depósito interfinanceiro cair depósito interfinanceiro cair fechar estável,1,-1,-1.0
espera powell rali índice ação ny dar pausa investidor modo espera dir jerome powell amanhã exposição congresso americano,0,0,
aposta economia forte inflação queda lento presidente fed redobrar mensagem haver pressa cortar juro fazer dirigente discurso diário,0,-1,
texto publicar site fed atlanta raphael bostic vota ano fomc escrever corte juro ocorrer trimestre seguir pausa reunião seguinte,0,0,
pausa necessário avaliar mudança política afetar empresa família dizer,0,0,
ausência driver positivo bolsa ny dar sinal fadiga,0,0,
quiser fechar semana consecutivo grande histórico investidor precisar ouvir palavra encorajadora powell payroll ameno dizer chris larkin morgan stanley,0,0,
índice fechar queda dow jones cair,0,0,
nasdaq perder apesar nvidia saltar ultrapassar saudi aramco empresa valioso mundo,0,0,
comecer surgir anális questionar ia estar contribuir formar bolha mercado ação casa veem alto frente,0,0,
bofa aumentar projeção aumento potencial nível atual goldman sachs avaliar alto valor magnífico linha fundamento,0,0,
ny nota rebaixar fitch moody new york community bancorp continuar espiral queda,0,0,
treasuries mercado exigir retorno grande maratona powell juro note ano subir note ano avançar ano,-1,-1,-1.0
índice dxy medir dólar ante cesta moeda forte ficar estável,0,0,
expectativa decisão bce euro subir banco central europeu manter juro estável esperar algum diretriz comunicado entrevista lagarde,0,0,
libra alta iene cair expectativa mudança postura boj rabobank prever elevação juro banco central japonês abril provável,-1,0,-1.0
banco holandês avaliar iene ganhar fôlego decisão março boj algum especulação mudança juro,0,1,
petrobras informar auditor confirmar irregularidade caso unigel procedir kpmg ter determinar afastamento diretor processo balanço mantido,0,0,
vibra energia registrar lucro líquido bilhão alta comparação anual ebitda ajustar somar crescimento período,0,0,
itaú aprovar distribuição jcp líquido ação pagamento ex,0,0,
banco nacional desenvolvimento econômico social reportar lucro líquido recorrente alta período ano anterior acumulado lucro somar ano,0,0,
gpa protocolar cvm pedido registro oferta público ação aprovar administração reunião movimentar bilhão ser direcionar investidor profissional,0,0,
operadora oi justiça manter hoje assembleia credor justiça determinar credor analisem pedir adiamento fazer anatel,0,0,
qualicorp blackrock passar deter ação on equivalente total papel on emitir companhia,0,0,
pague registrar lucro líquido ajustar m alta comparação anual ebitda ajustar somar m recuo período,0,0,
toyota alckmin antecipar montadora anunciar hoje investimento brasil,0,0,
mercado continuar esperar anúncio estímulo congresso china medo meta crescimento ano ser dura bater agenda doméstico produção industrial janeiro previsão queda animar aposta especial liquidação custódia dígito dinâmica pressão inflacionário continuar fator dominante noite durante evento sp galípolo sinalizar copom dúvida pressão inflação serviço salário estados unidos dia livro bege relatório adp emprego setor privado pesquisa jolts alto dia ser presença powell câmara apresentar relatório semestral política monetário,0,0,
documento publicar site fed início último levar crer absorvir mercado ninguém perder powell esperança digar algum novidade,0,0,
acordo relatório apresentar congresso americano fed considerar juro pico ciclo aperto apropriar cortar taxa confiança desinflação,0,-1,
recado combina aposta majoritário mercado início relaxamento ficar junho,0,-1,
