DataHora,Manchete,Direção
2024-11-21 17:01:00,"dolar à vista fecha em alta de 0,77%, a R$ 5,8115, após oscilar entre R$ 5,7832 e R$ 5,8340",Aumento
2024-11-21 17:02:00,MERCADOS: Petróleo sobe com aumento de tensões entre Ucrania e Rússia,Aumento
2024-11-21 17:05:00,MERCADOS: dolar avança com tensões na Europa e indefinição sobre pacote fiscal,Aumento
2024-11-21 17:08:00,Defesa de Mauro Cid afirma que delação premiada foi mantida por Moraes (STF),Aumento
2024-11-21 17:11:00,Haddad está com Lula no Planalto em reunião com representantes dos setores de atacado e varejo,Aumento
2024-11-21 17:14:00,Ministros da Junta Orçamentária (JEO) se reunirão daqui a pouco no Planalto (Fontes do Broadcast),Aumento
2024-11-21 17:20:00,"Citi tem recomendação de compra para Allos, com preço-alvo de R$ 30,00",Diminuição
2024-11-21 17:20:00,"Mudança na estrutura da liderança da companhia anunciada hoje gera uma oportunidade de redução de custos, diz o banco",Diminuição
2024-11-21 17:23:00,"PGR chegou a pedir prisão de Mauro Cid, mas reviu posição durante audiência com Moraes",Aumento
2024-11-21 17:31:00,PSOL e Rede entrarão com pedido na Câmara para cassação dos deputados Alexandre Ramagem (PL-RJ) e Eduardo Pazuello (PL-RJ) (Monica Bergamo/Folha),Aumento
2024-11-21 17:31:00,"Ramagem e um ex-assessor de Pazuello, o general da reserva Mário Fernandes, foram indiciados pela PF no inquérito que apura tentativa de golpe de Estado",Aumento
2024-11-22 09:00:00,Reação aos PMIs da Zona do euro,Diminuição
2024-11-22 09:00:00,"Oxford: Fracas demandas internacional e interna explicam declínio, com a complexa situação política que França e Alemanha enfrentam somando-se a uma perspectiva já sombria",Diminuição
2024-11-22 09:00:00,Cenário de curto prazo é negativo e riscos a médio prazo pendem para o lado negativo com o risco de uma guerra comercial entre a UE e os EUA,Diminuição
2024-11-22 09:02:00,"Juros futuros estão perto do ajuste, com viés negativo a partir do DI Jan/26",Diminuição
2024-11-22 09:02:00,"Ibovespa futuro sobe 0,25% a 128.045 pontos",Diminuição
2024-11-22 09:04:00,"PIB do México sobe 1,1% no 3oTri na comparação com o 2oTri, acima da preliminar (1,1%)",Diminuição
2024-11-22 09:04:00,"Na comparação anual, PIB mexicano subiu 1,6% ante preliminar de 1,5%",Diminuição
2024-11-22 09:07:00,IBGE/PNAD Contínua Trimestral: desocupação recua em 7 das 27 UFs no terceiro trimestre de 2024,Diminuição
2024-11-22 09:31:00,MERCADOS: dolar cai e juros rondam ajuste com pacote fiscal adiado para semana que vem,Aumento
2024-11-22 10:08:00,"Após leilões, Ibovespa vai à máxima de 127.859,37 pontos (0,74%)",Aumento
2024-11-22 10:16:00,BCE/Joachim Nagel diz que Europa está enfrentando grandes desafios econômicos,Diminuição
2024-11-22 10:23:00,Maiores baixas do Ibovespa:,Aumento
2024-11-22 11:05:00,"Globonews apura que anúncio do bloqueio orçamentário deve ocorrer no final da tarde de hoje, em entrevista coletiva",Diminuição
2024-11-22 11:05:00,"A expectativa é que o bloqueio seja de R$ 5 bilhões e, com isso, totalizará mais de R$ 18 bilhões de recursos congelados em 2024",Diminuição
2024-11-22 11:47:00,"EUA/S&P Global: PMI composto de novembro sobe a 55,3, de 54,1",Diminuição
2024-11-22 11:47:00,"PMI Industrial fica dentro do estimado, 48,8, de 48,5; PMI de Serviços sobe a 57, de 55 (consenso 55,2)",Diminuição
2024-11-22 11:56:00,MERCADOS: Ibovespa sobe com Petrobras anunciando pagamento de dividendos extraordinários,Diminuição
2024-11-22 12:03:00,"EUA/Univ. Michigan: Índice de Sentimento do Consumidor em novembro sobe a 71,8, abaixo da previsão de 73,3",Diminuição
2024-11-22 12:03:00,"Expectativa de inflação de 1 ano cai a 2,6%, de 2,7%; de cinco anos sobe a 3,2%, de 3%",Diminuição
2024-11-22 12:16:00,"Em coletiva para comentar o Plano Estratégico, a presidente da Petrobras Magda Chambriard diz que relatório deve confirmar que a meta de fiscal de 2024 será cumprida e que o pagamento de dividendos mostram que empresa vai entregar o que foi planejado. Segundo ela, companhia retomou a visão de longo prazo abandonada há cinco anos e quer liderar transição energética. ""Entregamos um terço da energia primária consumida no Brasil"", afirmou. Magna disse que previsão é de crescimento junto com o País, sendo que petróleo e gás seguem como foco nos próximos cinco anos.",Diminuição
2024-11-22 12:21:00,"Ibovespa faz nova máxima aos 127.996,83 pontos (0,85%)",Diminuição
2024-11-22 12:22:00,Petrobras: Magda reitera responsabilidade e zêlo pela rentabilidade nos projetos da estatal,Diminuição
2024-11-22 12:24:00,"EUA/Treasuries: rendimento de 2 anos passa a subir após dados, a 4,36%, de 4,34%; o de 10 anos exibe viés de queda a 4,41%",Diminuição
2024-11-22 12:27:00,Esses resultados e os dividendos extraordinários mostram que a Petrobras é perfeitamente capaz e irá entregar esse plano estratégico nesse rumo para 2050,Diminuição
2024-11-22 12:29:00,Petrobras: Magda aponta geração de impostos de US$ 254 bilhões a partir dos investimentos de US$ 111 bi,Diminuição
2024-11-22 12:42:00,"A Senacon, ligada ao Ministério da Justiça, abriu processo contra 14 operadoras de planos de saúde e quatro administradoras de planos",Diminuição
2024-11-22 12:42:00,"Secretaria vê ""aumento expressivo"" (24,4% a mais do que em 2023) do número de reclamações de usuários por cancelamento dos contratos pelas operadoras, sendo 11,7 mil queixas no ano até agosto",Diminuição
2024-11-22 12:45:00,"Petrobras/Magda: ""Entregamos projetos atrativos, rentáveis, sustentáveis e de apoio à comunidade. O plano é extremamente factível, realista e relativamente fácil e entregar",Diminuição
2024-11-22 13:02:00,"Petrobras sobe mais de 4% durante coletiva sobre o Plano estratégico: ON a R$ 43,15 (5,01%) e PN a R$ 39,43 (4,01%)",Diminuição
2024-11-22 13:21:00,"Em encontro com BC, economistas esperam mais desancoragem e debatem alta de 0,75pp da Selic em dezembro",Aumento
2024-11-22 13:34:00,"Europa/Fechamento: FTSE100 de Londres sobe 1,44%; DAX de Frankfurt ganha 0,83%; CAC40 de Paris avança 0,51%",Diminuição
2024-11-22 13:34:00,"Stoxx600 fecha em alta de 1,18%, aos 508,45 pontos",Diminuição
2024-11-22 13:40:00,"Relatório Bimestral de Receitas e Despesas será divulgado às 17h30, informa ministério do Planejamento; coletiva às 18h",Diminuição
2024-11-22 13:46:00,"Petrobras/Melgarejo: Com os R$ 20 bi anunciados ontem, distribuiremos R$ 64,2 bi em dividendos neste ano",Aumento
2024-11-22 14:01:00,MERCADOS: Bolsas europeias sobem com aposta de mais cortes de juros após novos sinais de fraqueza da atividade,Aumento
2024-11-22 14:09:00,"EUA: Em vitória para Trump, juiz adia indefinidamente sentença por condenação em caso de suborno de ex-atriz porno",Diminuição
2024-11-22 14:19:00,BCE/Villeroy de Galhau: Corremos o risco de manter economia da Europa desnecessariamente lenta,Diminuição
2024-11-22 14:20:00,EMPRESAS: Petrobras amplia ritmo de ganhos e recupera R$ 30 bi em valor de mercado,Diminuição
2024-11-22 14:27:00,"UBS BB reitera recomendação de compra para Petrobras PN, com preço-alvo de R$ 47",Aumento
2024-11-22 14:27:00,"Plano de negócios para 2025 a 2029 e pagamento de R$ 20 bi em dividendos são importantes para reduzir riscos da tese de investimentos da estatal, avalia o banco",Aumento
2024-11-22 14:41:00,"EMPRESAS: CVM emite parecer contra impedimento de Gasparino na Petrobras, após reclamação sobre conflito de interesses",Aumento
2024-11-22 14:46:00,"CMN regulamenta LCD, novo título de renda fixa com isenção de IR para pessoa física",Aumento
2024-11-22 15:04:00,"MERCADOS: Ibovespa sobe de carona com Petrobras; dolar e juros têm leve alta, à espera de relatório bimestral",Diminuição
2024-11-22 15:05:00,"EUA/Baker Hughes: Número de poços e plataformas de petróleo em atividade sobe em 1 na semana, para 479",Diminuição
2024-11-22 15:19:00,Cobre volta a cair devido ao dolar forte e expectativa de imposição de tarifas a produtos chineses pelos EUA,Aumento
2024-11-22 15:19:00,"Na Comex, o contrato para dezembro caiu 0,95%, a US$ 4,0860 por libra-peso; na semana, metal subiu 0,53%",Aumento
2024-11-22 15:19:00,"Na LME, o contrato para três meses tinha baixa de 0,45% há pouco, para US$ 8.982,00 por tonelada",Aumento
2024-11-22 15:23:00,"BB Investimentos reitera recomendação de compra para Petrobras PN, com preço-alvo de R$ 48,50",Aumento
2024-11-22 15:23:00,"Mudanças do novo plano estratégico são positivas, pois sustentam o foco na operação de exploração do pré-sal, mas diversifica alocação de capital, diz o banco",Aumento
2024-11-22 15:25:00,"Taxa Ptax fecha em R$ 5,8124, baixa de 0,08%",Aumento
2024-11-22 15:32:00,"UBS BB eleva preço-alvo da Direcional de R$ 37 para R$ 40, mantendo a recomendação de compra",Aumento
2024-11-22 15:32:00,"Revisão incorpora perspectivas de crescimento e geração de caixa da empresa, que continua sendo a principal escolha do banco no setor",Aumento
2024-11-22 15:43:00,"MERCADOS: Ouro sobe pelo quinto dia seguido e acumula ganho de 5,5% na semana",Diminuição
2024-11-22 15:50:00,"Petrobras/Magda: Tendo garantia da viabilidade do plano, não tem por que não pagar dividendos",Diminuição
2024-11-22 16:03:00,Reforma tributária: Montadoras reafirmam oposição ao imposto seletivo; governo pretende manter tributo,Diminuição
2024-11-22 16:09:00,"MME orienta Aneel a usar R$ 1,3 bi de bonus de Itaipu para baixar conta de luz",Diminuição
2024-11-22 16:25:00,"Ibovespa amplia alta para 1,40%, aos 128.697 pontos, na máxima do dia",Diminuição
2024-11-22 16:37:00,"dolar à vista ensaia virada para terreno negativo: -0,04%, a R$ 5,8094",Aumento
2024-11-22 16:43:00,Rússia: Putin diz que continuará realizando testes de mísseis hipersonicos,Diminuição
2024-11-22 16:48:00,Petrobras/Melgarejo: Não há interesse em estatizar a Braskem,Aumento
2024-11-22 16:54:00,"Petróleo/fechamento: Brent para janeiro sobe 1,26%, a US$ 75,17 por barril, na ICE",Aumento
2024-11-22 16:54:00,"WTI para janeiro avança 1,63%, a US$ 71,24 por barril, na Nymex",Aumento
2024-11-22 17:02:00,"dolar à vista fecha em alta de 0,05%, a R$ 5,8144, após oscilar entre R$ 5,7898 e R$ 5,8324",Diminuição
2024-11-22 17:04:00,MERCADOS: Petróleo sobe mais de 6% na semana com piora do cenário geopolítico na Europa,Diminuição
2024-11-22 17:14:00,"MERCADOS: dolar fecha perto da estabilidade, apoiado por fluxo, apesar da demora do governo em anunciar medidas fiscais",Diminuição
2024-11-22 17:44:00,Associações de bancos médios se manifestam contra proposta de aumento da garantia do FGC,Diminuição
2024-11-25 09:03:00,"dolar abre em queda de 0,45%, a R$ 5,7882; dolar futuro cai 0,31%, a R$ 5,7920",Aumento
2024-11-25 09:03:00,"Juros futuros abrem mistos, com alta no DI Jan/25 a 11,524%, de 11,487%",Aumento
2024-11-25 09:03:00,"Ibovespa futuro cai 0,19%, a 129.905 pontos",Aumento
2024-11-25 09:25:00,MERCADOS: dolar cai em linha com exterior e juros curtos sobem no aguardo do pacote fiscal,Aumento
2024-11-25 09:41:00,"O primeiro-ministro israelense, Benjamin Netanyahu, aprovou o acordo de cessar-fogo com o Hezbollah ""em princípio"", disse uma fonte à CNN",Aumento
2024-11-25 09:41:00,"Israel ainda teria reservas sobre alguns detalhes do acordo, que devem ser transmitidos ao governo libanês hojea segunda-feira, disse a fonte",Aumento
2024-11-25 10:00:00,Empresa diz lamentar a atual situação e reafirma confiança e compromisso com o agro brasileiro,Diminuição
2024-11-25 10:05:00,STF/Moraes deve enviar apenas amanhã o inquérito do golpe para a PGR,Diminuição
2024-11-25 10:05:00,"Havia expectativa que o envio ocorre hoje; Moraes também não deverá levantar o sigiloso do inquérito, que tem quase 800 páginas de documentos",Diminuição
2024-11-25 10:06:00,Haddad chega ao Planalto para reunião sobre o plano de corte de gastos com Lula; participam também Rui Costa e a ministra Esther Dweck,Diminuição
2024-11-25 10:09:00,"Encerrados os leilões, Ibovespa sobe 0,10% (129.252,76)",Diminuição
2024-11-25 10:13:00,Acompanhe a movimentação das principais ações do Ibovespa:,Diminuição
2024-11-25 10:19:00,Maiores altas do Ibovespa:,Diminuição
2024-11-25 10:31:00,"EUA/Fed de Chicago: indice de atividade nacional em outubro cai 0,40%, de -0,27 em setembro",Aumento
2024-11-25 10:41:00,"EXPECTATIVA COM PACOTE. A reunião dos ministros da área econômica com o presidente Lula, que acontece nesta manhã no Palácio do Planalto, é acompanhada pelos investidores como principal trigger do dia, já que deverá ser conclusiva sobre as medidas de cortes de gastos, após um mês de discussões. Segundo adiantou Haddad, o pacote deve ser anunciado entre hoje e amanhã. No mercado, permanece a apreensão sobre o que virá. Na 6aF, correram especulações de que a maior parte dos R$ 30 bilhões da economia esperada para o ano que vem viria do pente-fino nos programas sociais (anunciado em agosto), em vez de medidas estruturais. Embora a mudança da política de reajuste do salário-mínimo pareça estar confirmada, com o aumento real limitado ao teto de 2,5% do arcabouço, o presidente Lula não teria concordado em mexer nos pisos de Saúde e Educação. Há uma forte expectativa pelo pacote e o risco de uma decepção pode causar impacto negativo nos ativos.",Aumento
2024-11-25 10:44:00,"Reunião de Lula com ministros da equipe econômica começou no Planalto, segundo informa a Secom",Diminuição
2024-11-25 10:44:00,"Participam Haddad, Rui Costa, Esther Dweck e o secretário-executivo do Planejamento (Simone Tebet está em um compromisso em SP)",Diminuição
2024-11-25 10:50:00,"Ibovespa faz nova mínima a 129.024,61 pontos (-0,08%)",Aumento
2024-11-25 11:06:00,"Lula anuncia que visitará Yamandú Orsi em Montevideo durante a Cúpula do Mercosul, dia 6 de dezembro",Diminuição
2024-11-25 11:06:00,Orsi sagrou-se vencedor do pleito de ontem e se tornou o próximo presidente do Uruguai,Diminuição
2024-11-25 11:18:00,"Pacote de corte de gastos pode não ser anunciado hoje, segundo a Broadcast",Aumento
2024-11-25 11:18:00,"Lula está conhecendo o pacote na reunião que ocorre agora no Planalto, mas não se sabe qual será o tempo certo para divulgação",Aumento
2024-11-25 11:18:00,"Segundo interlocutores da equipe econômica, há chances pequenas de divulgação ainda hoje; o mais certo é que a divulgação poderá ser mesmo amanhã",Aumento
2024-11-25 11:49:00,"MERCADOS: Ibovespa cai no aguardo do pacote fiscal, apesar da alta de Petrobras, Vale e NY",Aumento
2024-11-25 12:24:00,"EMPRESAS: Assaí (4,03%) está entre as maiores altas do Ibovespa, em meio ao boicote dos frigoríficos ao Carrefour (-1,36%)",Aumento
2024-11-25 12:24:00,"Pão de Açúcar também sobe 1,48%",Aumento
2024-11-25 12:36:00,Estimativa é de saldo positivo próximo de US$ 70 bilhões para a balança comercial,Aumento
2024-11-25 12:36:00,"Sobre IDP, saldo líquido parece ter atingido teto e deve ficar próximo também de US$ 70 bilhões neste ano",Aumento
2024-11-25 12:47:00,"Petróleo recua mais de 2% com possibilidade de cessar-fogo entre Israel e o Hezbollah: brent/jan a US$ 73,47 (-2,26%) e WTI/jan a US$ 69,47 (-2,48%)",Aumento
2024-11-25 12:57:00,"Reunião sobre o pacote fiscal é interrompida para almoço, com previsão de retorno à tarde",Diminuição
2024-11-25 13:30:00,Títulos do Tesouro Direto poderão ser usados como garantia de operações financeiras,Aumento
2024-11-25 13:37:00,"Europa/Fechamento: FTSE100 de Londres sobe 0,35%; DAX de Frankfurt ganha 0,45%; CAC40 de Paris tem alta de 0,03%",Aumento
2024-11-25 13:49:00,BlackRock vê momento propício a aquisições e desenha reposicionamento no Brasil,Aumento
2024-11-25 13:55:00,"Opep poderá prorrogar cortes de produção na reunião de dezembro, diz ministro de energia do Azerbaijão (Reuters)",Diminuição
2024-11-25 13:58:00,Líbano diz que não há obstáculos para trégua proposta pelos EUA,Aumento
2024-11-25 14:05:00,MERCADOS: Bolsas da Europa sobem com expectativa de aceleração de cortes de juros pelo BCE após dados fracos,Diminuição
2024-11-25 14:18:00,Minerva suspende fornecimento de produtos à rede Carrefour (Estadão),Aumento
2024-11-25 14:19:00,BCE/Lane: Precisamos evitar estimar rapidez e escala dos cortes de juros nas próximas reuniões,Aumento
2024-11-25 14:23:00,"Goldman Sachs mantém recomendação de compra para Carrefour, com preço-alvo de R$ 12,50",Diminuição
2024-11-25 14:23:00,"Lucro líquido do 4TRI pode cair entre 0,54% e 1,09% para cada dia de interrupção no fornecimento de carnes para suas lojas, calcula o banco",Diminuição
2024-11-25 14:59:00,"MERCADOS: Sem anúncio de pacote fiscal, juros e dolar acompanham alívio externo, enquanto Ibovespa patina",Diminuição
2024-11-25 15:03:00,"Balança Comercial registrou superávit de US$ 2,062 bilhões na 4a semana de novembro",Aumento
2024-11-25 15:03:00,"Exportações somaram US$ 6,533 bilhões; importações alcançaram US$ 4,471 bilhões",Aumento
2024-11-25 15:03:00,"Superávit no mês atinge US$ 6,262 bilhões; no ano, superávit é de US$ 69,284 bilhões",Aumento
2024-11-25 15:05:00,EUA/Biden e França/Macron devem anunciar cessar-fogo entre Israel e o Hezbollah nas próximas 36h (fontes da Reuters),Diminuição
2024-11-25 15:07:00,Petróleo amplia queda com expectativa de cessar-fogo entre Israel e o Hezbollah,Aumento
2024-11-25 15:07:00,"Brent para janeiro recua 2,83% (US$ 73,04); WTI para o mesmo mês cai 3,17% (US$ 68,98)",Aumento
2024-11-25 15:12:00,BCE/Centeno é a favor de redução gradual dos juros até alcançar 2%,Diminuição
2024-11-25 15:16:00,Cobre se recupera de perdas recentes com ajuda da queda do dolar frente a outras moedas,Diminuição
2024-11-25 15:16:00,"Na LME, o contrato para três meses tinha alta de 0,71% há pouco, para US$ 9.036,00 por tonelada",Diminuição
2024-11-25 15:18:00,"Taxa Ptax fecha em R$ 5,8002, baixa de 0,21%",Aumento
2024-11-25 15:22:00,BCE/Nagel: Estamos cada vez mais confiantes de que inflação continuará caindo na zona do euro,Aumento
2024-11-25 15:26:00,"Tesouro Direto registrou aplicação líquida de R$ 582 milhões em setembro; resgates somaram R$ 6,19 bi, maior volume da série histórica",Diminuição
2024-11-25 15:46:00,Alemanha elabora lista de bunkers em meio a tensões com a Rússia,Diminuição
2024-11-25 15:49:00,MERCADOS: Ouro despenca com expectativa de cessar-fogo em Israel e indicação de Bessent para Tesouro dos EUA,Diminuição
2024-11-25 15:57:00,Terminou a reunião de Lula com ministros sobre o pacote de cortes de gastos,Aumento
2024-11-25 16:20:00,"EMPRESAS: Frigoríficos firmam alta, reiterando baixo impacto do boicote ao Carrefour",Aumento
2024-11-25 16:31:00,"Goldman Sachs reitera recomendação de compra para os ADRs e as ações da Petrobras, com preços-alvo de US$ 17,00 (ON) e de US$ 15,40 (PN) e de R$ 48,10 (ON) e de R$ 43,70 (PN)",Aumento
2024-11-25 16:31:00,"Queda da produção em outubro foi muito maior do que o previsto e aponta início fraco para o último trimestre do ano, avalia o banco",Aumento
2024-11-25 16:35:00,"XP eleva projeção de crescimento do PIB em 2024, de 3,1% para 3,4%, e em 2025, de 1,8% para 2%",Aumento
2024-11-25 16:48:00,"Stone recebe seis propostas não vinculantes de interessados pela Linx, entre elas de Totvs, Constellation, e fundos estratégicos (fontes do Broadcast)",Diminuição
2024-11-25 16:48:00,Stone teria interesse de manter contrato de distribuição nos canais da Linx,Diminuição
2024-11-25 16:50:00,"Pacote de corte de gastos trará mudanças no BPC, no abono salarial e no salário mínimo (fontes do Broadcast)",Aumento
2024-11-25 16:50:00,"Pacote também traz alterações na previdência dos militares, morte ficta e fundo de Saúde",Aumento
2024-11-25 16:50:00,Pacote terá mudanças no percentual de repasses ao Fundeb contabilizado no piso da Educação,Aumento
2024-11-25 16:50:00,Mudanças nos pisos constitucionais de Saúde e Educação devem ficar de fora dos cortes,Aumento
2024-11-25 16:51:00,"Petróleo/fechamento: Brent para janeiro cai 2,87%, a US$ 73,01 por barril, na ICE",Diminuição
2024-11-25 16:51:00,"WTI para janeiro recua 3,23%, a US$ 68,94 por barril, na Nymex",Diminuição
2024-11-25 16:57:00,MERCADOS: Petróleo cai 3% com expectativa de cessar-fogo entre Israel e Hezbollah e disposição do Irã em negociar acordo nuclear,Aumento
2024-11-25 17:01:00,"dolar à vista fecha em baixa de 0,15%, a R$ 5,8055, após oscilar entre R$ 5,7766 e R$ 5,8213",Aumento
2024-11-25 17:08:00,MERCADOS: dolar recua após indicação de Bessent para comandar Tesouro dos EUA; incerteza fiscal limita baixa diante do real,Aumento
2024-11-25 17:24:00,Lula está reunido com 11 ministros para tratar de modernização das estatais,Aumento
2024-11-25 17:24:00,Haddad está na Fazenda com Galípolo,Aumento
2024-11-25 17:29:00,CEO do Carrefour na França é pressionado a recuar sobre declaração polêmica de não comprar carne do Mercosul (Fontes de Assis Moreira/Valor),Diminuição
2024-11-25 17:35:00,Fed/Goolsbee: Juros ainda têm um bom caminho a percorrer até chegarem à neutralidade,Aumento
2024-11-26 09:01:00,Presidente da Associação dos Produtores diz à Globonews que o boicote [ao Carrefour] está superado e que os pecuaristas irão retomar o fornecimento,Diminuição
2024-11-26 09:02:00,"IPCA-15 sobe 0,62% em novembro, de 0,54%; no ano alta é de 4,35% e em 12 meses, de 4,77%",Diminuição
2024-11-26 09:04:00,"IBGE: IPCA-15 foi de 0,62% em novembro",Diminuição
2024-11-26 09:05:00,"dolar abre a R$ 5,8190 (0,23%) e dolar futuro a R$ 5,8190 (0,27%)",Diminuição
2024-11-26 09:05:00,Juros futuros abrem em alta de Jan/26 em diante,Diminuição
2024-11-26 09:08:00,Globonews: Ministério da Agricultura defende a retomada do fornecimento de carne para a rede Carrefour após carta de CEO Global,Diminuição
2024-11-26 09:08:00,"Ministro Fávaro diz que ""fizemos um risco no chão"" referindo-se à reação brasileira com a agressão do executivo francês",Diminuição
2024-11-26 09:43:00,MERCADOS: dolar e juros caem com exterior apesar do adiamento do pacote fiscal e do IPCA-15,Aumento
2024-11-26 09:53:00,"Ibovespa futuro vira e passa a subir 0,39%, a 130.180 pontos",Aumento
2024-11-26 09:58:00,Lula suspende compra de novo avião presidencial em razão do corte de gastos,Aumento
2024-11-26 09:58:00,"Há outra hipótese, que é a de reforma de um Airbus 330-200, mas ainda não há decisão tomada",Aumento
2024-11-26 10:00:00,João Fernandes (Quantitas): IPCA-15 tem boas notícias para a inflação qualitativa na margem,Aumento
2024-11-26 10:00:00,"Quase todos os serviços desaceleram na margem, em linha com o esperado",Aumento
2024-11-26 10:00:00,"Surpresa de alta ficou com passagem aérea e carnes; IPCA deve fechar novembro perto de 0,40%",Aumento
2024-11-26 10:02:00,"Terra/Homero Guizzo: Média dos núcleos desacelerou a 0,41%, de 0,43% em outubro; apenas um dos cinco núcleos de inflação aceleraram na leitura",Aumento
2024-11-26 10:02:00,"Os preços administrados arrefeceram de 0,91% em outubro para 0,19% em novembro; nos serviços subjacentes, houve desaceleração de 0,59% em outubro para 0,45%",Aumento
2024-11-26 10:02:00,Reação ao IPCA-15,Aumento
2024-11-26 10:02:00,Alexandre Maluf (XP): IPCA-15 de novembro aumenta chances de elevação de 75 pontos na taxa Selic no fimdo ano,Aumento
2024-11-26 10:02:00,"â um cenário de expectativas de inflação desancoradas, diz o economista",Aumento
2024-11-26 10:02:00,"Ele alerta para o comportamento dos serviços subjacentes, que saíram de 4,8% para 5,25%, uma forte aceleração",Aumento
2024-11-26 10:09:00,"Ibovespa sobe 0,35%, aos 129.484,57 pontos; Carrefour volta a leilão, em alta de 2,68%, a R$ 6,89",Aumento
2024-11-26 10:14:00,Acompanhe a movimentação das principais ações do Ibovespa:,Aumento
2024-11-26 10:20:00,"Igor Cadilhac (PicPay): Núcleos vieram relativamente comportados, com boa parte da surpresa para cima se comportando em passagens aéreas",Aumento
2024-11-26 10:20:00,"Mesmo assim, há sinais claros de piora nas leituras mais recentes e as expectativas paras a inflação futura continuam sendo um dos principais desafios",Aumento
2024-11-26 10:20:00,"IPCA-15 reforça mais uma alta de 0,50 ponto na Selic na reunião de dezembro",Aumento
